stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,113.07,3564.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.87,0,0,0,0,0,0,0,0,0,0
  5-6,170.6,3985.4,0,10.68,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0,135.66,0,0,0,55.56,95.39,0,0,0,0,0,0,0,0,0,0
  7-9,34.26,45.6,0,41.23,0,0,0,119.88,0,0,0,0,0,36.29,0,0,0,0,0,0,0,0,0,0,0,1192.02,36.82,0,0,366.21,0,6.03,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.35,0,0,0,11.64,0,0,0,0,0,12.45,0,0,0,0,0,0,0,0,0,0,0,75.64,16.79,0,0,33.13,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.9,1.69,0,1.38,0,0,0,0,0,0.95,0,0,0,0,0,1.41,0,2.34,0,0,0,18.44,0,0,0,0,14.34,0,2.31,0,0,2.27,0,0,0,0,0
 24-34,0,0,0,0,3.5,0,0,2.96,0,0.78,0.7,0,0.85,0.66,0.62,0.61,0.7,0,0,0,0.9,0.68,0.93,0,1.42,20.34,0.6,6.39,1.3,0,136.45,0,0,5.37,0,1.77,0,0,8.14,0,0
 36-46,0,0,0,0,3.56,0,0,5.21,0,0,0.62,1.8,0,0,2.14,0.89,0.68,0,1.17,10.02,19.7,16.8,5.63,0,1.97,62.73,0,1.75,0,0,213.59,0,0,6.12,0,13.27,0,0,7.72,0,3.38
 48-58,0,0,0,0.43,6.32,0,0,12.95,0,1.47,1.11,2.15,2.75,0,1.75,7.65,0,0,0.91,0,8.48,23.62,0,0.49,1.51,58.17,0,0.37,0,0,152.16,0,0,1.22,0,16.63,0,0,6.39,0,10.4
 60-70,0,0,0,0,3.39,0,0,41.24,0,11.21,4.1,11.53,1.57,0,0,9.31,0.67,1.8,1.03,1.19,1.22,20.84,0,0,0.74,74.35,0.67,0,0,0,203.37,0,0,12.25,0,24.58,0,0,7.25,0,12.58
 72-82,0,0,0,0,12.68,1.75,0,36.61,0,3.07,5.98,25.17,5.19,0.52,0.7,6.58,2.98,0,1.97,1.08,0.98,27.94,5.91,1.17,2.44,142.93,1.67,3.42,2.73,0,121.25,0,0,1.78,0,20.78,2.36,3.16,13.57,1.38,0
 84-94,0,0,0.66,0,53.41,0,0,24.76,0,3.33,0,21.63,7.64,0,0,13.8,5.38,0,0.66,3.81,0,41.96,8.08,0,1.8,130.27,0,1.28,4.7,0,388.05,0,0,2.87,5.42,17.31,1.5,0,16.14,4.2,7.23
 96-106,0,0,0,0,17.89,3.97,0,18.52,0.59,9.32,0,33.87,7.74,0,0.96,5.32,10.57,5.54,0.92,2.57,3.42,33.88,1.83,2.73,1.63,71.94,0.58,3.21,3.65,0,301.74,0,0,2.3,0,5.89,0,0,6.47,2.23,11.87
108-118,0,0,1.03,0,44.36,4.62,1.17,45.22,0.47,8.02,1.27,15.71,24.49,0,2.49,8.92,10.04,10.22,2.28,5.65,1.5,41.02,9.58,0.5,5.55,131.64,1.2,0,2.99,0,257.79,0,0,6.71,0,16.25,0.8,6.57,14.11,1.15,0
120,0,0,0,0,74.73,0,0,21.79,0,13.9,3.27,51.28,12.05,0,0,11.81,7.28,0,0,0,0,46.6,8.79,16.98,0,257.98,4.03,0,0,0,244.97,0,0,5.23,0,23.74,0,0,17.29,2.57,0
