stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,9.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.37,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,66.23,0,0,0,22.43,0,0,0,0,0,0,0,0,0
 10-12,0,0,17.13,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.43,0,0,0,14.74,0,0,0,0,0,0,0,0,0
 14-21,0,1.23,0,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,0.9,39.79,0,1.55,1.05,0,0,0,0,0,34.63,0,0,0,0
 24-34,0,0.66,0,0.75,0,0,0,0,5.08,0,0,0,0,0,0,0,0,0,0,0,228.06,0,4.02,0,0,0,0,0,0,73,0,0,0.64,0
 36-46,0,0,0,0,0,14.6,0,0,14.87,0,0,0.56,0,0,0,0,1.13,0,0,1.22,554.67,0.9,2.35,0,0,0,3.52,0,0,125.96,0,0,0,0
 48-58,0,0.67,0,0.54,0,96.05,0,0,30.12,0,0,0,0.39,0,0,0,7.87,0,0,0,675.3,1.03,2.55,3.02,0,0,6.38,0,0,97.2,0,0,0,0
 60-70,0,0,0,4.79,0,351.46,0,0,33.12,0,0,0,0,0,0,1.94,0.62,0.73,0.93,0.6,818.78,0,0.72,0.93,0,0,8.14,0,0,133.41,0,0,0,0
 72-82,0,3.89,0,0.83,0.79,529.28,0,0.62,23.75,0.76,0,0,0,0,1.07,0,1.89,0,0,0,607.92,6,2.19,1.22,0,0,0,0,0,54.52,1.64,0,0,1.99
 84-94,0,0.94,0,9.24,0,417.66,0,5.03,17.81,0,0,0,0.99,0,0,0,0.79,0,0,0,439.98,0,0,4.57,0,0,0,0,0.73,40.63,0,1.91,0,2.53
 96-106,0,2.37,0,4.82,0,490.57,0,0,25.41,2.24,0,0,0,1.29,0,0,4.11,0,3.63,1.03,278.04,0,2.41,0,0,0,0,3.82,0,9.02,0,0,0,3.62
108-118,0,2.63,0,4.4,0,423.88,0,0,15.71,0,0,0.86,0.59,0,0,0,1.55,0,4.04,0,348.02,0,0.46,5.67,0,0,1.62,0,0,8.85,0,0,0,1.45
120,0,3.01,3.17,1.89,0,219.32,1.01,0,72.1,0,0,0,0,0,0,0,7.29,0,6.02,0,634,0,6.99,6.57,0,9.36,1.07,0,0,37.03,0,0,5.76,1.05
