stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,3.22,0,0,0,0,0,0,0,0,1.93,0,5.65,0,1.07,0,0.91,0,1.85,4.27,2.43,0,0,0
 24-34,2.04,0,2.91,0,0,0,0,0.79,0,3.17,0,33.71,0,0,0,0,1.49,0,2.32,13.94,0,0,0
 36-46,0,0,0.84,0,0,0,0,0,0,5.33,0.57,38.55,3.47,0,0,0,0,0,0,9.6,0,0,0
 48-58,0,1.51,16.25,0.46,0.41,3,0,0,2.62,6.78,0,61.16,0,0,2.32,0,0,0,0,6.51,0,8.24,1.32
 60-70,7.17,0,26.62,1.34,0,6.48,0,0,0,7.9,0,88.9,0,0,0.58,0,0,0,0,7.81,2.51,4.08,0
 72-82,2.09,0,22.18,0,1.05,6.18,0,0,0,10.4,1.92,73.73,0,0,0,0,0,0,0,14.09,8.48,0,0
 84-94,0,0,8.15,0,0,2.09,1.92,0,0,3.53,0,37,0,0,0,0,0.65,0,0,7.54,20.42,0,0
 96-106,0.71,0,18.77,0,0,3.16,0,0,0,11.34,1.02,30.82,0,0,0,0,0,0,0,1.79,23.57,0,0
108-118,3.81,0,9.63,0,0,5.43,0,0,0,8.78,0.6,34.9,0,4.88,0,0,0.48,0,0,0,32.16,0,0
120,1.08,0,33.78,4.46,0,0,0,0,0,0,0,50.23,0,3,0,0,0,0,0,12.63,58.38,0,0
