stage,epidermis,erythrocytes,eye,fast.muscle,gut,liver,mesenchyme,muscle,neural,notochord,otic,periderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,9.43,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,8.99,0,0,0,0,0
 14-21,2.61,0,0,0,0,0,0.83,0,1.14,0,0,0,1.21,0
 24-34,0,0,0,0,0,0,1.49,0,6.35,0,0,0,1.12,0
 36-46,0,0,2.87,0.64,0,0,8.12,0.72,7.71,4.24,1.4,5.23,0,0
 48-58,1.64,1.81,0.53,0,0.92,0,2.16,0,1.88,0,0,1.9,0,0
 60-70,0,0,3.9,0,0,0,0.94,0,2.73,0,0,0,0,0
 72-82,0,0,1.15,0,0,0,2.11,0,4.76,0,0,7.21,0,0
 84-94,0,0,0,0,0,0,1.98,0,3.57,0,0,0,0,0.84
 96-106,0,0,0,0,0.86,0,0.61,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.55,0,0,0,0,0,0.44,0
120,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0
