stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,61.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,11.44,0,0,0,0,0,0,0,0,0,0,0,0,30.79,0,0,4.23,0,0,0,0,0,0,0,0
 10-12,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.41,0,0,13.85,0,0,0,0,0,0,0,0
 14-21,0,0,0.94,6.5,0,2.47,0,0,6.55,0,0,0,0,0,0,6.64,0,0,70.58,0,0,0.91,2.11,0.82,0.86,2.8,19.03,0,0,0
 24-34,0,0.61,0,0.67,0,5.79,0,0,3.46,0,0,0,0,0.65,0,9.36,0,1.75,161.09,0,0,0,3.38,0,0,1.46,17.53,0,0.91,0
 36-46,0,0,0.56,0,0,28.05,0,0,11.85,0,0,0,1.21,0,0,5.96,0,3.39,230.56,5.39,0,0,0.71,0,0,0,57.13,0,0.83,0
 48-58,0,0,0,0,0,56.61,4.55,0,14.04,0,0,0,0,2.61,0,19.02,0.56,1.23,164.05,0.85,0,0,1.13,0,0,0,24.94,0,2.26,0
 60-70,0,0,0,0.59,0,81.96,0,0.75,10.27,0,0,0,0,0,0,12.2,0.68,0.6,204.47,0,0,0,0,0,0,0,42.03,0,0,0
 72-82,0,0,0,1.44,0.57,41.06,0,0,6.09,0.54,1.04,0,0,0,0,25.41,3.83,2.22,114.39,2.26,1.88,0,1.61,0,0,0,12.51,0,0.5,1.81
 84-94,0,0,0,0,0,46.43,0,0,4.37,0,0.71,0,0,0,0,32.16,0,0,89.41,0.95,0.88,0,3.17,0,0,0,4.99,2,0,0.74
 96-106,0,0,0,0,1.5,36.29,0,0,3.46,0,0.74,0.84,0,2.06,0,21.07,0.67,1.42,96.63,5.91,2.86,0,5.77,0,0,0,5.06,0.61,10.92,0.76
108-118,0,2.3,0,4.22,0,41.82,0,0,10.09,0,0,0.86,0,0,2.11,27.62,0,0.73,148.5,0,0.51,0,1.81,0,0,0,0.58,0,1.18,0.71
120,0,0,0,1.13,0,38.73,0,0,4.69,6.13,2.69,1.89,0,0,0,12.1,2.4,0,125.87,0,0,0,0,0,0,0,0,0,0,0
