stage,axial,blastomeres,endoderm,hatching.gland,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,pronephros
  3-4,0,134.27,0,0,0,0,0,0,0
  5-6,43.63,144.96,0,0,68.5,0,12.15,0,0
  7-9,49.19,9.39,12.28,29.44,61.72,22.51,153.67,0,0
 10-12,0,15.02,0,4.92,7.76,13.42,62.22,4.56,6.88
 14-21,0,0,0,0,0,0,0,1.08,0
