stage,axial,epidermis,erythrocytes,eye,fin_mesenchyme,melanocytes,mesenchyme,muscle,neural,periderm,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,14.95,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.83,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.24,0,1.96,0,0
 36-46,0,0,0,0,0,0,0,0,2.12,0,0,0,0
 48-58,0,0,0,2.38,0,0,1.19,0,4.46,0,0.74,0,0
 60-70,0,0,0,7.03,0,0,1.02,0,2.89,0,0,0,0
 72-82,0,0,0,0.73,0,4.28,0,0.78,8.66,0,2.73,0,3.23
 84-94,0,0,0,2.55,0,0,0,1.47,5.35,0.9,0,0.98,0
 96-106,0,0,0,0.75,0,0,1.08,0,8.51,0,0,0,0
108-118,0,0,0,0,0.96,0,0.77,0,0,0,0,0,0
120,0,0,1.39,0,0,0,0,1.43,1.96,0,0,0,0
