stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,glial,hatching.gland,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,visceral.smooth.muscle
  3-4,0,82.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.67,62.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.67,0,0,0
  7-9,0,4.11,0,0,0,0,7.97,0,0,0,0,0,0,33.9,7.96,0,13.05,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,41.34,0,0,4.41,0,0,0,0
 14-21,0,0,3.07,0,0.86,0,0,0,0,0,0,0,1.01,8.42,0.83,0,0,0,1.64,2.92,0
 24-34,0,0,0,0,0.6,0,0,0,0,0.72,0.63,0,1.14,16.52,0,0,0,0,0,1.76,0
 36-46,0,0,0,0,1.52,0,0,0,0,0,0,0,0,3.76,0,0,0,0.59,0,2.17,0
 48-58,0,0,0,0,2.28,4.53,0,0,0,0,2.3,0,0.82,2.58,0,0,0,0,0,1.39,0
 60-70,0,0,0,0,3.42,1.54,0,0,0,0.8,0.59,0,0,1.74,0,0,0,0,0,0,0.64
 72-82,0,0,0,0,1.96,0.57,0,0,0,0,8.78,0,0,1.56,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.59,0,0,2.48,0,0,3.52,0,0,0.75,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.71,4.65,0,0,0,0,4.51,1.14,0,0.83,0,0,0,0,0,2.94,0
108-118,0,0,0,0.49,0.96,9.97,0,0,0.61,0,1.24,0,0,2.22,0,0.82,0,0,0,0,0
120,0,0,0,0,3.07,4.2,0,0,0,0,1.95,0,0,0,0,0,0,0,0,0,0
