stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,73.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.03,64.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.12,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.96,0,0,0,26.06,0,3.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.78,0,0,0,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.46,3.16,0,0,6.21,0,0,0,14.95,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1107.31,0.84,0,1.34,0,0,4.32,1.9,0,0,0,0,0,0,0,2.21,3.97,0,8.43,49.99,0.95,0,8.41,0,1,2.13,3.15,3.86,1.23,6.81,19.26,0,0,0,0,0
 24-34,0,0,0,0,630,0,0,9.98,4.78,0.89,5.43,0,2.95,0,0,0,8.38,0,4.27,25.26,3.61,0,5.4,98.47,0,0.67,6.72,0,2.91,0,0,2.1,0,2.18,44.85,0,0,3.4,0,0
 36-46,0,0,0,0,237.19,1.1,0,21.1,3.17,0.57,13.77,0,0,1.19,0,0,16.62,0,0,21.89,0.88,0,4.29,166.47,0.97,0.56,3.52,0,0,0,0,1.12,0,0,18.33,0,0,0,0,0
 48-58,0,0,0,0,27.03,0,0,50.3,4.62,16.96,17.6,0,0,0,0,0,4.94,0,0,63.76,0,0.5,3.93,80.37,0,0.38,1.29,0,6.2,0,0,0.4,0,0,18.84,0,0,0,0,10.77
 60-70,0,0,0,1.19,12.29,0,0,17.81,0,18.65,19.6,0,0,0.93,0,0,1.43,0,0,275.03,0,0,13.29,54.64,0,1.22,0,0,6.74,0,0,0,0,0,29.33,0,5.69,0,0,0
 72-82,0,0,4.15,0,3.74,0,0,114.12,0,29.85,29.93,3.54,0,1.83,0.63,0,3.67,0,0,867.93,0,4.05,7.15,74.16,0,0,3.59,0,0,0,0,0,0,0,7.16,0.78,10.31,0,0,0
 84-94,0,0,0,0,4.11,0.72,0,133.89,0,64.36,21.61,2.66,0,5.93,0,0.75,0.66,0,0,697.62,0,0,10.04,65.19,0,0,0,0,0.72,1.4,0,0.9,0,0,10.76,0,2.14,0,0,0
 96-106,0,0,1.76,0,23.11,7.63,0,82.46,11.63,34.84,29.69,7.33,0,6.18,1,0,3.86,1.03,0,1222.53,0,0,13.69,101.5,6.5,0,1.24,0,0,0,0,0,0,0,9.43,0,0.67,20.1,0.81,0
108-118,0,0,1.09,1.13,9.01,0,1.96,77.24,0.43,53.73,41.4,8.89,0,2.23,0,0,7.39,3.36,0,1414.77,0,2.52,10.74,94.14,0,0,0,0,1.01,0,0,0.66,0,0,8.87,0,1.53,8.76,0,0
120,0,0,0,0,12.6,5.63,1.6,71.39,0,81.77,19.26,9.29,0,31.61,0,0,0,0,0,1292.11,0,26.43,18.61,57.06,0,0,0,0,0,0,0,0,0,0,0,4.63,26.69,0,0,0
