stage,epidermis,eye,fin_epithelia,glial,gut,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vasculature
 14-21,1.09,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,16.6,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,3.63,0.7,0,0,0,50.31,0,0,0,2.61,0.95,0,0,0,0,0,0.62,0
 48-58,4.63,0.38,0,0.49,0,80.7,0,0,0,17.24,1.72,0,0,0,0,0,0,0
 60-70,21.13,12.02,2.35,0,0,201.91,0,0,0,14.46,5.42,0,0,0,0,0,0,0
 72-82,14.62,5,0,1.48,0,312.52,0,0,3.23,14.66,2.01,0,0,0,0,0,0,2.26
 84-94,44.66,12.23,0,0,3.85,487.96,0,0,1.18,12.2,0,0,0,0,0,0,0,0.62
 96-106,111.83,18.54,0,1,17.71,882.72,0,5.9,7.38,19.4,2.76,0.58,0,0.74,4.53,0,0,0
108-118,139.6,0,0.42,0,0,787.78,3.69,0,4.14,31.76,17.49,0,0,0,0.68,1.25,0,0
120,69.88,8.77,0,0,0,551.17,0,2.94,0,19.32,43.26,0,1.46,0,0,0,0,0
