stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,20.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,10.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,3.96,0,0,0,3.47,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.65,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.01,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,7.84,0,0,0,0,0,0,2.28,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68,2.45,1.93,0.99,0,0,1.08,0,2.29,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.74,2.08,0,0,0,8.2,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.69,1.79,0,0,1.09,0,0,0,0,0,1.77,0.87,0.96,0,0,0,9.1,2.56,9.52,2.92,0,0,0,1.17,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.28,1.78,0,0,0,0,0,0,0,1.51,0,2.15,0,0,2.02,5.98,1.23,6.17,0.62,0,0,0,1.71,0.88,0,0,0,0,0
 72-82,0,0,0,0,4.57,0,1.08,10.94,0.63,2.98,3.64,0,0,0,0.57,0,0,2.81,6.45,7.73,0,0,0,3.54,0.53,21.1,0,0,0,0,5.25,1.62,0,1.39,0,1.24,0
 84-94,0,0,0,0,0,0,14.14,20.93,0,0,0,0.66,0,0,0,0,0,3.72,0,12.95,0,0.92,1.89,6.97,6.32,21.43,0,5.42,0,0,31.77,10.18,0,3.53,0,0,8.24
 96-106,1.12,0,1.1,0,3.19,22.22,10.2,27.06,11.1,0,0,8.36,1.27,4.64,0.59,1.03,1.15,13.78,0,31.6,1.75,0,7.27,35.18,3.88,29.87,1.64,10.18,0,0,64.32,2.15,0,0.89,5.88,2.83,0
108-118,0,0,0,0,2.91,20.66,27.85,42.17,26.85,0.47,0,15.98,7.67,0.86,0,0,0,22.2,1.79,7.71,0,0,8.77,37.77,21.26,23.76,0,5.98,0,1.99,87.7,1.63,0.67,1.65,0,0,5.76
120,0,0,0,0,0,0,10.86,8.3,31.03,0,0,5.6,9.21,0,0,0,0,29.64,0,22.49,0,0,37.82,13.48,19.24,50.8,5.67,0,0,1.97,30.42,15.77,0,0,0,0,0
