stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,593.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.26,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.49,209.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.79,0,0,0,16.88,0,0,5.18,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.43,0,5.53,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359.55,20.49,0,0,63.84,0,0,0,0,13.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.9,17.62,1.66,5.55,0,0,3.25,1.07,0,0,0,0,0,0,0,15.28,0,3.73,83.16,6.18,2.23,0.8,0,0,0,0,10.29,3.34,0,3.21,40.82,0,0,3.63,0,0
 24-34,0,0,0.67,0.63,2.16,0,11.6,0.59,0,6.27,0.85,0,0,0,1.27,0,0,0,12.05,0,6.88,254.35,0,2.06,0.6,0,3.82,0.73,0,0,0.6,0,3.45,55.88,0,0,15.74,0,2.21
 36-46,0,0,0,0,2.37,0,50.93,0,0.73,6.46,0.95,0.84,0,0,0,0,0,0,12.01,0,3.69,269.24,0,2.75,0,0,0,2.83,0,0,0.67,0,0,61.8,0,0,3.31,0,0
 48-58,0,0,0,0,2.66,0,128.65,0.93,0,20.78,0,0.66,0,0,0,0.43,2.52,0.41,17.12,0,2.88,395.65,0,2.73,0.38,0,0,3.53,0,0,2.86,0,0,47.59,0,0,2.59,0.5,1.24
 60-70,0,0,0,0,2.12,0,237.84,0,0,28.2,0,0,0,0,0,0,0,0,26.42,0,8.05,502.23,9.39,0,7.3,0,1.9,1.83,0,0,0.58,2.94,0,46.44,0,0,11.41,0,0
 72-82,0,0,0,0,1.52,0,248.03,0,1.29,22.34,0.71,0,0,0,0,0.81,0,0,34.68,5.87,0.57,333.27,0,8.19,0,0,3.03,0,0,0,1,0,0,20.21,0,0,5.56,2.18,8.52
 84-94,0,0,0.73,0,1.77,1.48,139.68,0,6.15,7.68,0,0,1.2,0,0,0,0,0.73,21.23,1.31,3.21,180.77,0,7.71,0,0,3.19,4.3,0,0,0,0,0,35.86,0,0.68,3.43,0,0
 96-106,0,0,0,0,0.68,0,59.14,0,0.62,22.92,1.96,1.33,1.24,0.68,0,0,0,0,20.08,0,4.15,162.56,0,2.47,2.91,0,0,0,0,0,0,0,0,4.28,0,0,0,0.58,5.27
108-118,0,0,4.36,0,3.56,0,71.06,0,0.45,19.31,0,0.68,2.82,0.72,0,0,0.48,0,35.38,2.4,5.07,206.78,1.03,3.74,1.72,0,3.67,0,0,0,0.42,0,0,4.8,0.81,0,0.56,0,0
120,0,0,0,0,14.78,0,52.97,0,3.09,24.19,10.64,0,0,0,3.86,0,0,0,10.91,0,0,349.69,0,5.12,0,0,0,4.3,0,0,0,0,0,6.54,0,0,5.28,0,0
