stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,0,37.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,56.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.14,0,0,0,0,0
  7-9,4.87,0,0,4.77,0,0,0,0,0,0,5.37,0,0,0,0,0,45.06,17.36,0,0,10.08,5.76,0,0,0,0,0
 10-12,0,0,0,19.03,0,0,3.33,0,0,0,0,0,0,0,0,0,101.36,3.91,0,0,41.49,0,14.66,0,0,0,0
 14-21,0,0,0,0,0.8,2.47,0,0,0,1.5,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,3.54,0,0
 24-34,0,0,0,0,0.61,0,3.4,0,1.67,0,0,0.6,0,0,1.26,1.6,41.1,0,1.02,1.16,0,0,0,0,8.78,2.91,0
 36-46,0,0,0,0,4.75,0,2.78,0,1.37,0,0,0,0,0,2.39,0,76.59,0,0,0,0,1.5,0,0,7.56,0,0
 48-58,0,0,0,0,0,0,16.5,0,1.38,0,0,0,6.99,0,3.2,1.22,69.61,0,0,0.69,0,0.81,0,0,12.12,0,0.83
 60-70,0,0,0,0,2.32,0,36.78,0,1.46,0,0,0,0,0,13.53,0.96,83.8,0,0,5.4,0,0,0,0.71,1.13,0,0
 72-82,0,0,0,0,0,0,21.7,0,1.41,0,0,0,0,0,16.05,0.55,65.23,0,0,0,0,0,0,0,7.28,1.53,0
 84-94,0,0,0,0,0,0,17.38,0,2.01,0,0,0,0,4.61,6.71,0.68,18.71,0,0,0,0,1.04,0,0,2.67,0,0
 96-106,0,0,1.14,0,0,8.17,20.57,0,8.9,0.86,0,0,0,0,14.89,0,16.08,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,1.93,0.71,4.33,0,0,0,0,0,15.97,0,50.22,0,0,0.48,0,0,0,0,0,0,1.16
120,0,0,0,0,0,0,54.21,0,0,0,0,0,0,0,8.58,0,51.33,0,0,0,0,0,0,0,0,0,0
