stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.62,3.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.02,0,0,0,0,0,0,0,0,0
 14-21,0.83,1.72,1.16,0,3.56,0,0,0,0,0,0,7.49,0,0,0,1.66,2.62,0,2.29,0.92,0
 24-34,2.11,1.22,0,0,0,0,0,1.08,0,2.81,0,15.18,0,0,0,2.4,0,0.73,1.03,0,0
 36-46,0,0,0,0,0.97,0,0,0,0,3.55,1.27,9.48,0,0,0.61,1.71,0,0,9.01,0,1.97
 48-58,0,0.75,2.4,0.48,0,0,0,0.47,0,5.35,0,23.03,0,0,0,7.5,0,0,4.23,0,0
 60-70,0,7.01,0,0,1.62,0,0,0,0,0.87,0,33.17,0,0.73,0,0,0,0,9.16,0,0
 72-82,0,10.85,0,0,0.54,0,0,1.06,0,0,0,15.45,0,0,0,0,0,0,4.28,0.81,0
 84-94,1.39,7.9,0,0,2.4,0.57,2.4,1.13,0,3.84,0.59,15.35,0,0,3.09,0,0,0,9.93,0.57,0
 96-106,1.34,2.75,0,0,0,2.87,1.31,0,0,2.83,0,20.67,0,0,0,0.59,0,0,0,0,0
108-118,0,6.48,0,0,3.57,0.87,0,0.6,0.82,3.14,0,27.26,0,0,0.48,1.07,0,0,0,0,0
120,0,0,0,0,0,1.09,0,0,0,0,0,8.54,0,0,0,0,0,0,5.58,0,0
