stage,axial,blastomeres,endoderm,eye,fin.mesenchyme,glial,hatching.gland,immune,mesenchyme,neural,notochord,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,33.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.85,27.07,0,0,0,0,0,0,0,0,16.8,0,0,0,0,0,0,0
  7-9,22.04,19.1,3.91,349.87,0,0,12.04,0,0,765.04,14.87,0,48.34,0,0,0,0,0
 10-12,0,12.9,3.2,183.51,0,0,0,0,0,770.31,0,0,85.27,3.96,6.51,0,3.51,0
 14-21,0,0,0,0,0,0.94,0,0,0,9.04,0,0,0,1.02,0,0.85,15.83,0
 24-34,0,0,0,0,0.84,1.5,0,0,0,8.97,1,1.4,0,0,0,0,10.01,0
 36-46,0,0,0,0,0,0,0,0,0,6.61,0,0,0,0,0,0,0.6,0
 48-58,0,0,0,0.71,0,1.86,0,0,0,5.07,0,0,0,0,0,0,2.73,0
 60-70,0,0,0,0,0,2.64,0,0,0,1.99,0,0,0,0,0,0,0,1.03
 72-82,0,0,0,0,0,0,0,0,0,3.82,0,0,0,0,0,0,0,0
 96-106,0,0,0,6.85,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.68,0,3.93,0,0.48,2.92,2.14,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0
