stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,lateral.line,mesenchyme,muscle,neural,otic,periderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,0,32.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.83,50.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.07,0,0,0,0,0,0
 14-21,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.64,0,0,0,0,0.9,0,0,1.69,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.17,0,0,0,0,3.09,0,0,0,0
 48-58,0,0,0,0,0.52,0,0,0,0,0.38,0,4.02,0,0,0,0,0.62,0
 60-70,0,0,0,0.7,5.22,0,0,0,0,0,0,2.22,0,0.57,0,0,0,0
 72-82,0,0,0,7.67,0.84,0,0,0,0.92,0.61,0,6.32,3.36,1.98,0.57,0,0,0
 84-94,0,0,2.86,6.34,4.18,0,0.58,0,0,0,0,2.57,4.77,8.23,0,0,0,0
 96-106,0,0,0,9.09,2.09,0,3.73,0,1.58,0,0,2.99,1.26,4.06,0,2.44,0,0
108-118,0,0,0,0,1.17,0,2.38,0,0.51,0,0,6.47,8.91,6.04,0,0,0,0.63
120,0,0,0,0,0,0,17.72,2.37,0,0,0,0,16.59,0,0,0,0,0
