stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,gut,immune,ionocyte,mesenchyme,muscle,neural,pronephros,vasculature
  5-6,11.79,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.32,0,0
 10-12,0,12.27,0,0,0,0,0,0,0,0,19.2,18.61,0
 36-46,0,0,1.39,0.61,0,0,0,0,0,0.84,0,0,0
 48-58,0,0,0,0,0,0,4.02,0,0.41,0,1.72,0,0
 60-70,0,0,0,0,0,0,6.27,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.05,0.5,0.51,0,2.71,0,0.51
 84-94,0,0,0,0,0,1.57,1.47,0,0,0,0,0,0.6
 96-106,0,0,0,0,0,0,1.05,0,0,0,0,0,0
108-118,0,0,0.45,0,0.97,0,0.88,0,3.95,0,0,0,2.48
120,0,0,0,0,17.92,0,17.81,0,2.9,0,0,0,0
