stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.89,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,0,0,0,0,0,0,1.69,0,0,0
 24-34,0,0,0,0.63,0.67,0,0,0,0,0,0,0,0.75,0,24.56,0,0,0,0,0.71,0,0.69,3.58,0,1.46
 36-46,1.16,0.57,0,2.65,0.87,0,0,0,2.49,0,1.17,0,1.95,1.89,27.36,2.14,0,0.57,0,0,0.58,0,5.54,0,0
 48-58,1.84,0,0,6.34,0,1.82,0,0,0,0,0,0,3.55,0,59.33,0,0,0,1.36,0,0,0,15.46,0,3.98
 60-70,0,0,0,5.62,0,7.85,0,0,0,0,0,0.59,3.23,0.68,27.26,0,0,3.17,0,0,0,0,4.53,0.84,0
 72-82,0.78,0,0,12.58,0,1.42,0,0,0,0,0,0.87,5.88,0,42.6,0,0,0,0,0,0,0,8.71,0,0
 84-94,7.67,0,0,12.89,0,1.27,0.99,0,0,1.13,0,0,8.17,0,11.27,0,0,0,0.89,0,0,0,4.43,0,0
 96-106,2.17,0,0,14.19,0,3.83,0,0.57,0,0,0,0,6.23,1.93,30.08,0,0.81,0,7.34,0,0,0,0,0,2.02
108-118,0,0,2.57,1.95,0,1.82,0,0,0,0,0,0,4.03,3.12,24.9,0,0.7,0,0,0,0,0,0,0.52,1.78
120,0,0,0,30.88,0,13.34,0,0,0,0,0,0,0,0,35.59,0,0,0,7.9,0,0,0,1.19,0,0
