stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.02,0,0,0,15.42,0,4.34,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.58,3.54,0,0,11.41,0,4.52,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,0,0,0,0,0,0,0,0,2.65,0,0,0,0,0
 24-34,0,0.6,0,0,0,8.42,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,480.27,0,2.32,0,0,0,2.03,0,0,73.74,0,0,0.73,0,0
 36-46,0,0,0,0,0,207.41,0,0,0,1.84,0,0,0,0,0,0,0,7,0,0,0,1487.38,0,3.2,0,0,0,3.73,0,0,213.57,0,0,2.35,0,0.97
 48-58,0,0,21.98,3.81,0,1604.45,2.59,9.52,0,52.69,0,0,0,0,0.49,0,0,38.98,0,7.43,6.72,3520.98,0,5.74,0,0,0,2.49,0,1.46,292.92,0,0,0,0,17.95
 60-70,0,0,24.79,1.17,0,3757.58,0,2.42,0,63.41,0,0,6.15,0,0,0,0,16.47,0,2.73,6.61,4922.08,1,1.99,3.51,0,0,17.06,1.08,0,408,0,0.8,0,0,8.39
 72-82,0,1.28,11.69,6.67,0,3184.18,0,3.67,4.39,85.04,2.48,0,3.06,0,0,0,7.34,34.39,0.74,4.69,0.83,5063.38,0,5.13,5.93,0,0.8,2.52,0.68,0,293.81,0,1.22,7.27,0,30.19
 84-94,0,0,24.73,3.86,0,2233.94,6.71,0,4.53,80.25,0.62,0.7,1.73,1.25,1.71,0,0,35.4,0,1.62,0.81,3156.73,0,0.99,0,0,0,7,0,0,218.41,0,0,1.56,0,0
 96-106,0,0,26.22,11.16,0,1357.42,0,0,5.05,42.1,0.56,0,0.56,0.86,0.84,0,0.75,26.14,0,2.34,0.78,2206.76,0,3.9,0,0,0,6.83,0,0,71.08,0,1.26,1.07,2.48,4.01
108-118,0,0,19.57,2.72,1.73,1504.54,0,0,4.18,42.47,0,0,0,0,0.44,0.52,0,25.31,0,2.23,1.6,2796.26,0,1.87,14.79,0,0,5.47,0,0,72.25,0.43,0,7.7,0.57,3.64
120,0,0,47.07,0,0,1466.54,0,0,4.41,87.54,1.73,0,0,0,0,0,0,15.52,0,0,6.54,4983.13,0,19.45,0,0,0,1.87,0,0,86.58,0,1.54,13.67,0,0
