stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,ionocyte,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  5-6,18.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.29,0,0,5.42,0,0,0,0,0,35.24,0,0,11.72,0,0,0,0,0,0,0
 10-12,0,14.93,0,4.67,0,0,0,0,0,0,100.51,0,0,7.48,0,0,0,0,0,0,0
 14-21,0,0,7,0,0,0,0.81,0,0,1.84,18.22,0,0,0,0,0.91,0.88,1.82,2.39,2.26,0
 24-34,0,0,0,0,1.83,0,0,0,1.56,0,4.53,2.43,0,0,0,0,0,0,0,0,0.79
 36-46,0,0,0,0,0.66,0,0,0,2.52,0,15.44,0.66,0,0,0,0,0,0,0,0,0
 48-58,0,0,3.66,0,2.88,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,1.09,0
 72-82,0,0,0,1.2,14.64,0.94,0,0,0,0,3.48,0,0.95,0,0.93,0,0,0,0,3.15,0
 84-94,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,7.59,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.37,0,0,0,1.37,0,0,0,0,0,0.64,0,0,0,0,0,0
120,0,0,0,0,8.22,0,0,4.02,0,0,8.5,0,0,0,0,0,0,0,0,0,0
