stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,paraxial.mesoderm,somites,spinal.cord
  5-6,12.57,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.95,0,0
 14-21,0,0.9,0,0,0.95,0,3.56,0,1.61,1.64
 24-34,0,0,0,0,0,0,4.51,0,0,0.8
 36-46,0,0,0,0,0,0,3.01,0,0,0
 48-58,0,0,0,0.57,3.11,0,0.85,0,0,0.56
 60-70,0,0,3.07,1.28,0,0.6,2.55,0,0,0
 72-82,0,0,16.59,1.05,0,0,5.3,0,0,0
 84-94,0,0,0,0,0,0,1.59,0,0,0
 96-106,0,0,2.93,0,4.42,0,0,0,0,0
108-118,0,0,0,0,0,0.44,0,0,0,0
