stage,epidermis,eye,glial,heart,mesenchyme,muscle,neural,notochord,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
 14-21,5.22,2.35,2.1,0,3.5,0,40.81,7.27,0,2.68,4.64,16.66,0
 24-34,0,0,4.45,0,0.78,1.35,43.61,0,0.82,0,0,32.77,1.29
 36-46,0,0.66,3.21,0.9,0,0.84,18.52,0,0,0,0,19.54,0
 48-58,0,0,0.53,0,0,1.03,3.12,0,0,0,0,1.05,0
 60-70,0,0,0.87,0,0,0,3.44,0,0,0,0,0,0
 72-82,0,2.25,0,0,0,0,0,0,0,0,0,0,0
