stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,immune,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,periderm,pronephros,spinal_cord,taste,vasculature
  3-4,20.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,9.33,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,7.07,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.87,0,1.05,0,0,0,0,0,0,0
 24-34,0,0.68,2.88,0,1.09,0,0,0,0.94,0,13.18,0,0,0,0.65,3.45,0,1.83
 36-46,0,0,1.08,0,3.61,0,0,0,1.57,0,6.76,0,0,0.64,0,4.49,0,0
 48-58,0,0,2.32,0,0,0,0,0,0,0,19.17,0,0.5,0,0,2.35,0,0
 60-70,0,0,10.09,0,0.79,0,0,0.72,9.15,0,29.22,0,0,0.6,0,4.48,0,0
 72-82,0,0,1.72,1.07,0.87,0,0,0,1.5,0,16.99,0,0,0,0,4.48,0,3.91
 84-94,0,0,17.9,0,1.88,0,0,0,1.8,0,12.43,0,0,1.42,0,0,1.53,4.7
 96-106,0,0,4.27,0,6.42,0,0,0,4.99,0,5.41,0,0,0,0,5.04,0,0
108-118,0,1.19,8.39,0,1.96,0.85,1.16,0,4.79,0.77,19.61,0,0,0,0,0.57,0,0
120,0,0,0,0,8.74,0,0,0,0,0,5.42,1.25,0,0,0,2.78,0,0
