stage,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,mesenchyme,muscle,neural,paraxial.mesoderm,pronephros,spinal.cord
  5-6,38.42,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.52,0,0,0,0,0,0,44.03,18.52,0,0
 10-12,0,0,0,12.54,0,3.66,0,0,72.55,29.48,16.02,0
 14-21,0,0,1.78,0.83,0,0,0,0,8.98,0,0,0
 24-34,0,0,0,0,0,0,0,0.81,1.36,0,0,0
 36-46,0,0,0,0,0,0,0,0,2.12,0,0,0
 48-58,0,0,0,1.25,0,0,0,0,0.42,0,0,0
 60-70,0,0,6.38,0,0,0,0,0,4.07,0,0,3.07
 72-82,0,0,0,0,0.94,0,1.27,0,5.57,0,0,0
 84-94,0,0,1.35,0,0,0,0,0,0,0,0,0
 96-106,0,0,0.77,1.49,0,0,0,0,0,0,0,1.51
108-118,0,0,0,1.77,0,0,0,0,1.04,0,0,0
