stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.24,295.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0,0
  5-6,6.08,654.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46,17.23,0,0,21.11,7.68,0,0,0,0,0,0,0,0,0
  7-9,21.18,24.68,0,3.74,0,0,0,50.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.6,9.26,0,0,75.05,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.05,0,11.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419.03,0,0,0,102.88,0,0,7.02,0,0,0,0,0,0,0
 14-21,0,0,0,3.27,13,1.97,0,6.96,0,0,1.2,2.96,0,0,0,0.9,0,0,0,0,7.45,0,4.44,145.04,7.46,0,0.95,0.87,0,10.85,2.84,0,22.11,46.18,0,2.67,0,0
 24-34,0,0,0,0,0.74,0,0,29.94,0,0,5.26,0,0,0,0,0,0.63,0.6,0.86,0,11.03,0,5.5,191.37,0,2.81,1.43,0,4.38,0,0,0,0.65,33.1,0,1.91,0,0
 36-46,0,0,0,0,1.69,1.22,0,10.08,0,0,8.3,0,0,0.95,0,2.49,0,0.79,0,0,12.7,0,4.06,147.29,6.18,0,0.67,0,4.06,0,0,5.58,0,24.06,0,1.05,0,0
 48-58,0,0,0,0,1.16,3.6,0,22.4,0.49,0,20.57,0,0,7.04,0,0.44,0,0,3.61,0,15.63,0.4,0.45,57.59,4.09,0,0,0,4.05,0,0,0,0,22.37,0,1.49,0,0.92
 60-70,0,0,0,0,0.86,0,0,27.51,3.9,1.23,21.41,0,0,0,0,0,0,0.8,0,0,8.94,0.76,4.13,79.1,0,0,2.01,0,0,0,0,0,0,7.18,0,0,0,0
 72-82,0,0,0,0,0.55,0,0,12.17,0,0.94,6.9,0,0,0.58,0,0,0,0,0.97,2.63,25.33,0.71,3.49,40.3,0,0.55,0,0,0,0,0,0,0,12.81,0,6.07,0,0
 84-94,0,0,1.16,0,3.21,0,0,25.97,0.57,2.65,10.01,2.65,0,0,0,0,0,0,0.69,0,10.45,2.26,0,39.72,1.16,0,0,0,1.29,0,0,0,0,0,0.71,0,0.82,0
 96-106,0,0,2.03,0,2.98,0,0,15.02,0,0,10.34,0,0,0,3.2,0,0.95,2.87,0,0,24.43,0.93,2.36,11.54,0,0,0,0,0.57,0,0,0,0,1.13,0,0,0,0
108-118,0,0,0,0,5.95,0,3.71,38.51,0,1.02,19.72,0,2.74,0,2.12,1.87,0,0,0,0,27.52,0,5.21,59.98,0,1.11,6.06,0,6.27,0,0.42,0,0,0,0,3.39,1.48,2.41
120,0,0,0,0,6.52,0,0,9.34,5.53,2.36,18.96,0,0,0,0,0,0,0,2.32,0,28.97,0,1.24,102.87,0,0,0,0,2.25,0,0,0,0,18.15,0,1.96,0,0
