stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,29.77,199.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.29,228.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.76,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.87,21.41,0,64.27,0,0,43.05,0,0,0,0,0,31.38,0,0,0,0,0,0,0,0,0,0,0,244.43,74.64,0,0,72.94,0,0,4.85,0,0,0,0,0,0,0,0,0,0
 10-12,0,55.38,0,42.95,0,0,99.76,0,0,0,0,0,67.83,0,0,0,0,0,0,0,0,0,0,0,980.71,200.34,0,0,393.43,0,3.1,0,0,24.21,0,7.28,9.81,0,0,0,0,0
 14-21,0,0,0,0.91,33.91,21.86,2.73,0,1.85,0,5.82,5.45,0.81,0,0,0,0,0,0,0,17.34,0,0,13.13,95.29,26.63,0,3.72,6.96,0,0,0,17.78,0.86,18.73,79.66,57.09,0,0,73.51,0,0
 24-34,0,0,0,0,23.7,3.41,23.69,0,7.29,1.21,10.24,0,0,0.98,0,0,0,0,0,0,40.51,1.69,0,19.25,346.89,10.42,0,4.04,0,0,0,0,0,0,1.68,10.36,86.06,0,0,328.68,0,0
 36-46,0,0,0,0,5.39,0,66.64,0,0.67,22.51,24.99,0,4.4,1.29,0,0,0.61,0,0,0,61.36,0,0,20.04,561.33,5.2,0.8,0,0,0,11.07,0,0,0,0.58,0,113.29,0,0,223.96,0,0
 48-58,0,0,0,0,0.5,0,141.79,0.58,0.62,17.39,54.84,0,0,0,1.57,0,0,0,0,0,72.4,2.1,6.66,16.23,443.56,0.59,0.47,0,0,0,0,0.65,0,0,0,0,116.11,0,0,102.71,0,0
 60-70,0,0,0,0,0,0,195.47,12.11,0,18.24,50.04,0,0,0.9,1.61,2.65,0,0,4.47,5.25,104.98,0,12.6,24.55,412.79,0,0,4,0,0,0,0,0,0,0,0,45.56,0,0.57,65.42,0.71,3.58
 72-82,0,0,0.61,0,0.57,0,106.3,1.14,2.2,18.75,21.18,0,0,0.58,1.25,0,0,0,0,0,86.25,0,3.6,18.72,245.87,0,0,0,0,0,2.93,0,0,0,1.06,0,8.74,0,4.74,139.95,6.28,0
 84-94,0,0,0,0,1.82,0.94,68.09,7.96,3.69,7.3,10.58,0,0,0,2.24,0,0,0.96,0,0,79.19,0,3.89,15.81,204.54,1.11,0,2.9,0,0,1.48,0,0,0,0,0,14.01,0,7.72,131.78,6.85,0
 96-106,0,0,0,0,0.56,0.98,47.78,2.1,0,3.06,8.63,1.03,0,0,3.25,1.68,0,0,0,0,32.65,0,3.16,13.46,120.65,0,2.19,0,0,3.84,1.5,0,0,0,0,0,10.42,2.04,0,76.95,0.87,0
108-118,0,0,0,0,0,0,25.31,0.65,0.44,5.87,11.32,0,0,0,1.94,0.47,0,0,0.43,0,32.09,0,0,12.55,117.07,0,0,1.04,0,0,5.59,0,0,1.69,0,0,0,0,0,62.48,5.29,0
120,0,0,0,0,0,8.88,85.29,1.57,0,1.44,21.26,0,0,2.95,1.81,0,0,0,0,0,16.29,0,0,7.95,181.95,0,4.59,1.8,0,0,0,0,0,0,0,0,1.19,0,0,75.41,27.06,2.85
