stage,blastomeres,eye,fin.epithelia,fin.mesenchyme,glial,lateral.line,melanocytes,mesenchyme,neural,olfactory,paraxial.mesoderm,spinal.cord,vasculature
  3-4,9.75,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.23,0,0
 14-21,0,0,0,0,0,0,0,0,1.81,0,0,1.89,0
 24-34,0,0,0,0,0,0,0,0,2.05,0.98,0,1.99,0
 36-46,0,0,0,0.63,0,0,0,1.48,8.03,0,0,2.05,0
 48-58,0,2.31,5.9,0,0,0,0,0.4,8.88,0,0,2.35,0
 60-70,0,3.99,0,0,1.43,1.57,0,0,25.73,0,0,3.74,2.47
 72-82,0,3.74,0,0,0.91,0,0,0,13.29,0,0,2.4,0
 84-94,0,2.34,0,0,0,0,0,2.72,23.38,0,0,2.91,0
 96-106,0,13.04,0,0,0.6,0,1.15,0,17.99,0,0,2.03,0
108-118,0,3.25,0,0,2.75,0,0,0,25.46,0,0,0,0
120,0,0,0,0,0,0,0,0,15.85,0,0,0,0
