stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,83.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.57,431.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,53.31,16.41,0,76.55,0,0,0,9.42,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0,0,110.75,53.14,0,0,51.71,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.81,0,123.7,0,0,0,10.83,0,0,0,0,0,8.56,0,0,0,0,0,0,0,0,0,0,297.71,137.77,0,0,229.99,0,0,0,0,13.77,0,0,32.27,0,0,0,0,0
 14-21,0,0,1.11,2.47,15.76,0.86,0,0,0,0,0,0,15.16,0,0,0,0,0,0,0,0.85,6.39,0,14.83,584.44,518.67,1.54,2.43,11.56,0,0,0,9.07,0,114.55,31.29,250.13,0,0,2.88,0,0
 24-34,0,0,4.27,0.61,2.25,0,0,6.65,0,0,0,2.93,0,0,0,0,0,0,0,0,2.19,9.91,0,5.96,1056.89,126.18,2.09,14.36,0,0,7.53,0,0,0,6.22,3.55,461.47,0,0,106.17,0,0.78
 36-46,0,0,1.1,0,2.06,0,0,18.15,0,0,4.2,2.96,0,0,0,0.61,0,0,0,0,0,3.94,8.23,0,1236.62,17.25,1.23,7.12,0,0,7.28,0,0,3.61,0,0,473.34,0,0,57.27,0,8.21
 48-58,0,0,0,0,3.01,0,0,49.73,2.9,0,13.28,16.46,0,0,0,5.79,0,1.14,0.59,1.43,3.84,157.37,0,1.12,956.34,0.6,0.59,1.78,0,0,7.4,0,0,1.33,0,0,433.1,0,0,36.72,0,13.5
 60-70,0,0,0,0,5.59,0,0,63,0,0.94,41.9,58.79,0,0,0,0,0,22.96,0,0,6.03,956.57,1.83,3.49,899.84,0.7,0,0.78,0,0,0.83,0,0,11,0,0,174.61,0,1.22,6.17,0.59,2.86
 72-82,0,0,0,0,6.96,3.05,0,207.98,4.93,1.35,35.61,851.92,0,0,0,1.21,1.15,51.35,1.05,4.38,2.19,2072.7,0.9,3.47,1244.51,0,3.7,7.27,0,0,7.41,0,0,4.68,0,0,150.45,3.22,0,11.51,0,13.59
 84-94,0,0,0,0,6.05,9.81,0.96,192.88,0,0,26.13,697.93,0,0,0.78,1.03,1.42,68.36,0,0,4.28,2039.81,6.38,0.68,855.95,0,4.47,8.5,0,3.86,8.81,0,0,4.14,0,0,86.98,0,0,15.74,2.23,0
 96-106,0,0,0,0,34.86,23.44,1.91,179.36,1.41,0,11.27,1761.3,1.56,0,0,5.93,0,168.97,0.75,0,4.08,1275.23,0.94,0,871.95,1.7,9.24,9.58,0,4.36,8.29,1.14,0,1.38,0,0,58.61,0,0,19,1.78,0.73
108-118,0,0,1.03,0,13.22,0,18.88,169.59,0,2.97,30.12,1492.61,0,0,0,6.19,0,318.46,4.07,3.88,3.54,922.39,1.21,2.33,1346.98,5.43,2.58,9.43,0,5.63,9.29,0,0,0,0,0,69.96,0.68,0,26.87,0,0
120,0,0,0,0,29.83,7.14,4.43,132.41,0,0,11.49,1629.41,7.77,0,0,0,0,206.54,0,4.22,11.42,1154.24,0,2.77,1375.75,0,0,7.34,0,0,7.9,2.5,0,3.15,0,0,123.97,0,0,21.46,0,0
