stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.41,528.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.35,259.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.79,0,0,0,59.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,14.45,0,0,0,3.34,0,0,0,0,8.69,0,0,0,0,0,0,0,0,0,0,0,130.19,27.18,0,0,43.14,0,4.52,0,0,5.73,0,0,0,0,0,0
 14-21,0,0,1,17.65,4.19,0,2.66,0,0,1.86,2.95,0,3.07,0,0,0,0,1.95,0,8.07,0,0,11.74,41.98,0.93,0,4.14,1.24,0,42.8,1.76,0,3.93,21.23,0,0,1.14,0,0
 24-34,0,0,0,8.88,0,0,15,1.66,0,2.62,0,0,0,0,0.68,0,0.86,0,0,26.79,2.05,0,7.08,88.21,1.41,0,6.79,0,0,91.79,0,0,1.32,12.06,0,0,5.25,0,0.61
 36-46,0,0,0,1.97,0,0,10.52,0,2.08,6.03,0,0,1.06,0,0,0,3.34,0,2.25,22.59,6.46,0,6.64,60.49,1.84,1.99,0.57,0,0,113.88,0,10.74,0,16.86,0,0,0,0,1.44
 48-58,0,0,0.4,16.43,0.39,0,22.87,0,1.16,36.23,0.58,0,0.48,0.47,0,0,0,6.21,0.97,37.35,0,0.89,4.97,64.61,0,0.44,0.81,0,0,46.19,0,0.53,0,11.82,0,0,2.49,0,12.59
 60-70,0,0,0,14.49,0,0,73.06,0.86,9.25,35.44,3.42,0,0,0,0,0,0,1.37,0.72,47.43,0,0,4.19,24.76,1.21,0.98,0.65,0,1.08,38.08,0,0.83,0,4.36,0,0.63,9.73,1.41,5.55
 72-82,0,0,0,6.61,0.58,0,91.4,0,7.1,49.09,3,0,1.69,1.16,0.53,3.01,2.99,12.39,6.69,59.64,0,1.3,2.98,41.22,0,3.26,6.66,0,0,28.45,0,1.67,0,5.6,5.66,2.65,11.54,2.53,7.41
 84-94,0,0,0,6.61,2.34,1.98,184.22,2.11,10,33.01,5.37,0.86,0,0.65,0.68,2.3,2.79,7.89,0,60.33,0.91,0.78,2.2,41.62,1.31,5.31,3.11,0,0,78.77,0,2.8,0,0,1.01,1.05,2.6,2.07,4.19
 96-106,0,0,0,11.71,7.05,0,278.46,0.62,0.72,55.16,11.1,0,1.98,3.36,1.81,1.65,3.06,18.55,0,55.05,4.3,0.67,3.96,53.02,1.28,5.33,11.1,0,0,57.84,0,0.82,0,1.76,0,4.28,26.06,4.67,13.97
108-118,0,0,0,31.56,0,3.54,308.5,1.14,2.1,43.42,17.65,0,0.92,3.11,2.24,11.14,2.14,27.2,0,64.99,4.62,5.89,4.95,33.21,0.45,5.44,1.44,0,0,77.31,0,2.96,0,1.86,0,1.53,8.98,0,1.16
120,0,0,0,29.92,25.86,0,116.48,5.47,3.89,43.42,34.16,0,4.83,7.88,0,0,10.61,23.32,0,63.76,1.56,3.2,1.67,36.23,0,4.73,0,0,2.63,47.8,0,1.94,0,0,0,0,5.14,3.6,0
