stage,blastomeres,epidermis,eye,fast.muscle,glial,heart,immune,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,13.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,14.1,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.11,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.48,0,0,0,2.75,1.72,9.28,0
 24-34,0,0,0,0,0,1.21,0,7.09,1.24,9.35,37.41,0,0.95,2.03,0,13.48,15.37,4.48
 36-46,0,1.64,0.72,0.61,0,0,0,4.17,0,0.63,40.69,0,0,1.87,0,9.76,12.39,0.91
 48-58,0,0,5.03,4.79,0,0,0,2.78,0,7.61,7.42,1.33,0,5.59,0,9.33,4.44,1.69
 60-70,0,0,5.73,0.68,0,0,0,2.75,0,0.77,4.22,0,0,0,0,6.23,9.74,0
 72-82,0,0,22.73,0.5,2.93,0,0,1.7,0,0,23.07,0,0,0,0,0,0.71,0
 84-94,0,1.34,0,4.29,0.68,0,0,7.91,0,0,21.73,0,0,0,0,0,0,2.73
 96-106,0,0,5.57,8.86,0,0,0,11.07,0,0,14.65,0,0,0,0,0,0,1.8
108-118,0,0.84,11.61,5.9,1.8,0,0,2.64,0,1.59,8.18,0,0,0.62,0,1.34,0,5.57
120,0,0,12.5,2.57,3.73,0,1.29,15.51,0,6.59,43.57,0,0,0,0,0,0,0
