stage,blastomeres,epidermis,eye,fin.epithelia,glial,hatching.gland,heart,mesenchyme,muscle,neural,notochord,otic,periderm,spinal.cord,taste,visceral.smooth.muscle
  3-4,31.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.32,0,0,0,6.92,0,0,0,0,0,0
 10-12,0,0,0,0,0,52.28,0,0,0,3.59,9.79,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.42,1,0,0,0,0,0,0,0
 24-34,0,6.14,0,0,0,0,1.75,8.65,1.61,25.59,0,0,0,0,0,0
 36-46,0,2.28,0,0,0,0,0,2.75,0,22.4,0,0,0,4.34,0,0
 48-58,0,13.74,1.63,0,0,0,0,0.97,1.17,50.44,0,0,0,0,0,0
 60-70,0,11.4,1.33,0,0,0,0,19.65,0,115.23,0,0,0,1.54,0,0
 72-82,0,5.18,5.05,0,2.56,0,0,1.56,0,80.46,0,1.07,0,1.15,0,0
 84-94,0,0.57,0,0,0,0,0,2.17,2.43,51.24,0,0,0,0,0.78,1.06
 96-106,0,0,2.61,0,1.17,0,0,3.06,0,48.21,0,0,0,0,0,0
108-118,0,1.61,2.99,0.43,2.78,0,0,2.92,0,101.89,0,0,3.41,0,0,0.54
120,0,5.47,1.31,0,0,0,0,0,0,151.54,0,0,0,0,6.72,0
