stage,eye,heart,neural,olfactory,spinal_cord
 36-46,0,0,1.76,0,0
 48-58,0,0,6.02,0,0
 60-70,2.55,0,4.52,0,0
 72-82,0.87,0,6.43,0,2.4
 84-94,0,1.78,0,0,0
 96-106,0.61,0,12.73,0,0
108-118,0,0,4.82,0.45,0
120,0,0,4.33,0,0
