stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,14.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.16,9.51,0,0,19.83,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.28,0,0,0,4.12,0,3.03,0,0,0,0,0,0,0
 14-21,0,0,0,40.04,2.09,1.01,0,0,0.88,0.87,0,0,0.91,0,0,0,0,4.35,0,0,9.08,18.87,0.88,0,0,0,5.48,0,3.46,0,15.04,15.86,0,1.03,0
 24-34,0,0,0.6,10.89,0,1.85,1.86,0,0,0,0,0,0.72,0,0,0,0,8.01,0,0,1.4,105.35,0.6,1.71,0,0,15.46,0,0,0,1.27,12.45,0,0,0
 36-46,0,0.95,0,4.23,0,1.29,3.2,0,3.73,0,2.48,0,0,0,0,0,0,4.77,0,0.67,1.35,101.75,2.27,1.21,0,0,13.24,0,0,0,0,8.99,0,0,0
 48-58,0,0,0,13.25,0,12.16,6.62,0,7.13,0,0,0,0,5.84,0,0,0,8.46,0,0,0.92,31.62,1,0.41,0,0,6.33,0,0,0,0,21.95,0,0,0.53
 60-70,0,0.62,0,18.2,0,5.86,0.79,0,58.21,0,0,0,0,2.34,0,0,1.24,4.59,1.04,0,1.2,66.17,0,0,0,0,13.91,0,0,0,0,7.98,0,0,0
 72-82,0,2,0,4.76,0.54,19.46,0.5,0,84.2,4.09,0,0,0,2.95,0,0,0,11.47,0,0,0,109.33,0,0.74,5.8,0,0,0,0,0,0,7.55,0,1.85,0
 84-94,0,4.14,0,0.57,0,6.89,0,0.8,66.65,4.47,0,1.48,0.8,11.91,0,0,0,19.44,0,0,1.3,38.78,0,0,2.91,0,12.52,0,0,0,0,1.3,0.71,0,0
 96-106,0,5.93,0,5.11,0,38.42,1.1,0,57.01,8.47,0,0.72,0.86,2.86,0,0,0,6.45,0.7,0,0,24.85,0,7.51,4.27,0,7.05,0,0,0,0,12.74,0.83,0.6,0.69
108-118,0,0,0,10.89,0,30.38,1.76,2.81,99.47,1.52,0,0.49,1.43,4.63,0,0,0,10.19,0,0,0,59.52,0,0,0,0,0.67,0,0,0.44,0,0.62,0,0.63,0
120,0,1.22,0,24.61,0,11.57,0,0,110.82,0,0,3.42,0,23.19,2.12,1.02,0,0,0,0,0,16.77,0,1.46,0,0,0,0,0,0,0,0,0,1.78,0
