stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,41.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.72,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.56,0,0,19.74,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.39,4.8,0,0,0.9,0,0,0.99,0,0,0,0,0,0,0,0,2.08,0,0,0,14.56,1.02,0,0,1.02,0,2.67,1.67,0,1.15,15.07,0,0,0
 24-34,0,0,0.74,0.69,0,0.69,0,0.63,0,0,0,0,1.39,0,0,0.61,0,4.96,0,0,2.44,34.02,1.88,0,0,1.93,0,0,0.64,0,0,10.01,0,1.28,0
 36-46,0,0,0,1.32,0,1.15,0,0,0,0,0,0,0,0,0,0,6.85,2.21,0,0,5.33,72.74,1.16,1.14,0,0,0,0,0,0,0,29.06,0,0,0
 48-58,0,0,0,4.8,0,6.63,0,0,1.34,0,2.69,0,0.82,0,0,0.37,8.56,3.34,0,0,0.38,119.7,0.87,0,0,0,0,0,0,0,0,22.31,0,0,0
 60-70,0,0,0,31.05,0,81.64,3.43,0,2.35,0,0,0,0.57,0,0.79,0,5,4.1,0,0,0,319.88,1.17,0,0,3.15,0,0,0,0,0,38.8,0,0,6.81
 72-82,0,0,0,81.46,0,123.71,0,0,28.01,0,0,3.5,0.63,0,0,1.08,2.19,6.83,0.52,0,0,515.32,1.25,0,0,2.83,4.96,0,0,0,0,61.99,10.5,0.93,0
 84-94,0,26.68,0,129.9,0.61,86.88,0,0,20.89,0,0,0,1.9,0,0,1.27,19.48,9.51,0,1.5,0,316.5,0,1.91,0,1.68,0,0,0.94,1.43,0,43.1,0,0,0
 96-106,0,2.04,0,30.99,0,77.38,3.46,0,41.21,0,0,0.56,0.75,0.77,0,9.85,5.23,17.61,0,0.88,0,352.07,0,0,0,2.33,70.12,0,0,0,0,17.37,0,2.25,1.22
108-118,0,0,0,18.3,2.02,135.1,2.5,0,65.62,0.88,0,0,3.16,0,0.58,8.55,4.59,11.69,0,0,0.62,644.34,0,0,0,2.24,0,0,25.52,0,0,20.27,2.31,2.81,0
120,0,0,0,65.64,0,163.41,0,0,20.36,0,0,0,0,0,0,1.14,6.44,2.16,0,0,0,881.33,0,2.94,0,0,0,0,0,0,0,62.14,1.12,0,0
