stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,20.16,346.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.92,0,0,0,0,0,0,0
  5-6,14.54,313.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11,0,29.04,0,0,0,0,0,0,0
  7-9,0,7.12,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,82.12,0,0,0,11.2,0,3.37,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.47,0,0,0,0,0,0,0,0,76.27,0,0,0,3.12,0,0,5.55,5.64,0,0,0,0,0
 14-21,0,0,0,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.62,0,0,0,0,0,0,1.68,2.83,0.81,0.93,0,0,0
 24-34,0,0,0,1.21,0,0,0,0,0,0,0.68,0,0,1.08,0,0,0,1.59,0,0,10.75,0,0,0,0,0,5.02,0,0,0,2.39,0,0,0
 36-46,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,1.63,0,0,1.07,0,0,12.9,2.79,0,0.83,0,0,6.26,0.73,0,0,5.23,0,0,0
 48-58,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0.38,0,0,0,1.28,0,0,16.35,0,0,0,0,0,1.84,0,0,0,5.41,0.37,0,0
 60-70,0,0,0,0,0,0,6.22,0.68,0,0.87,0,0,0,0,0,0,0,1.94,0,0,5.59,0,0,0,0,0,5.49,0,0,0,0,0,0,0
 72-82,0,0,0,1.88,0,0,9.66,0,0,2.87,0.85,0,0,0.61,0,0,0,3.33,1.1,1.55,4.69,0,0,0,0,0,6.34,0,0,0,0.57,0,0,0
 84-94,0,0,0,1.69,0,0,7,0,0.58,0,2.24,0,0,2.06,0,0.57,0,0,0,0,6.23,0,0,0,0,0,14.27,0,0,0,0,0,0.76,0
 96-106,0,0,0,1.46,0,0,1.01,0,0,0,2.48,0,0,3.29,0.97,0,0,0,0,0.67,12.44,0,0,0,0,0,16.83,0,0,0,0,0,1.84,0
108-118,0,0,1.47,3.4,1.92,0.82,16.27,0,0.58,0,0,0,0.69,5.75,0.52,1.35,2.2,1.55,0,0.45,7.67,0,0.85,0,0,1.84,14.11,0,0,0,0,0,0.62,2.08
120,0,0,0,0,0,0,6.11,1.18,0,0,1.85,0,0,2.06,0,0,0,0,0,0,11.36,0,0,0,0,0,6.25,0,0,0,0,0,0,0
