stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,118.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42,0,0,0,0,0,0,0
  7-9,4.85,0,3.29,0,0,3.52,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,165.76,0,0,0,50.76,0,0,0,0,0,0,0,0,0
 10-12,0,0,111.41,0,4.44,11.7,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,3.87,1025.87,6.18,0,0,56.82,0,18.66,38.02,0,0,0,0,0,0
 14-21,0,2.56,4.87,169.85,6.64,1.02,0,0.82,0,1.23,1.33,0,1.1,0,17.91,2.42,0,0,14.01,0.95,0,1.22,64.98,0,8.74,12.03,1.21,0,39.21,11.76,0,28.65,0,0,4,0
 24-34,0,1.29,2.42,99.76,0,0.71,0,6.11,0,23.08,3.38,0,0.92,0.6,37.09,14.36,1.33,1.23,12.52,5.43,0,4.37,284.73,9.54,34.08,21.21,0,0,31.08,7.12,0,73.45,0,0,28.34,0
 36-46,0,0,0,60.57,0,5.59,0,17.6,0,18.34,4.82,0,1.06,0,17.56,9.68,4.16,0,13.18,1.35,0.92,5.32,278.3,20.41,48.42,10.35,0,0,43.08,2.22,0,65.9,0,0,25.21,0
 48-58,0,0.44,0,42.63,0,10.49,0,10.94,0,69.52,3.68,3.25,4.61,0,12.26,12.32,4.44,0,7.85,0.65,0,0.73,114.6,0,22.77,12.66,0,0.56,38.08,1.7,0,52.4,0,0,22.3,0
 60-70,0,0.82,0,97.19,0,12.42,1,25.23,0.6,43.01,5.63,2.37,1.3,2.12,9.08,26.59,12.22,0,16.8,2.34,0.85,1.67,96.55,0,37.78,15.85,0,1.53,49.7,1.12,1.58,25.58,2.2,2.46,10.28,0.71
 72-82,0,4.61,0,36.21,1.3,7.92,0.59,9.35,0.89,25.31,3.74,0,6.67,2.22,3.63,18.7,0.49,0,17.49,1.94,3.68,1.4,57.68,0,19.86,11.56,0,0,16.16,0,0,3.81,27.84,1.91,19.91,0
 84-94,0,1.92,0,72.52,0.66,4.46,0,7.54,1.64,32.04,12.35,0.91,2.49,7.64,16.48,8.47,0.57,0,14.93,6.19,2.79,0,49.79,1.27,26.84,27.13,0,0,84.91,3.22,0,6.69,44.35,1.67,26.94,0
 96-106,0,3.43,1.03,34.01,3.96,24.08,0,1.81,0,19.74,9.53,0,3.63,0.57,8.13,17.83,1.06,0,15.76,4.25,3.71,1.83,20.04,0,30.33,12,0,0,49.06,1.28,0,5.71,21.98,0,10.12,0
108-118,0,5.53,0.74,81.08,0,11.58,0,13.03,0,36.09,17.4,0,0,2.31,16.85,30.98,5.23,0,22.32,13.99,1.61,0,44.5,3.17,32.12,10.18,0,0,77.92,5.5,0,5.91,40.5,0,17.91,0
120,0,16.82,2.55,120.45,15.56,8.52,0,17.12,0,35.28,35.89,0,9.7,1.19,21.94,48.78,10.5,0,10.88,19.09,9.54,0,137.76,0,71.44,11.85,0,0,51.77,5.26,0,12.11,29.11,0,49.45,18.4
