stage,endocrine_pancreas,epidermis,eye,glial,mesenchyme,muscle,neural,otic,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,1.08,0,0,0,1.93,6.38,0,1.08,4.08,0,0
 24-34,0,0,0.59,0,0.89,0,9.12,0,0,4.92,0,1.06
 36-46,0,0,0.62,1.54,1.99,0,7.48,0.58,0,3.92,0,0
 48-58,0,0,1.76,0,1.41,0,0.64,0,0,0,0,0
 60-70,0,0,0,1.26,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.85,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.55,0,0.58,0,0,0,0,0
 96-106,0,0,0,1.85,0,0,0,0,0,0,0,0
108-118,0.77,1.03,1.09,0.73,0,0,0.7,0,0,0,0.9,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0
