stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,9.29,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,0,0,0,10.12,2.11,0,0,0,2.48,0,1,0,0,0,1.18,0,0,0,0,0
 24-34,0.75,0,82.3,0,0,1.47,12.16,0.96,0,0,0,0,0,0,0,0,3.08,0,1.02,0.98,0,14.82,64.61,0,1.56,2.19,0,24.13,0,0,0,2.15,0.78,9.84,0,0,10.43,0,6.03
 36-46,0,0,2117.4,1.4,0,11.39,38.32,77.75,0,10.24,0,0,0,8.67,0,0,0,0,4.25,35.79,1.12,4.67,83.86,0,0,0,0,64.24,0,0,0,0,0,19.29,0,0,3.1,0,4.56
 48-58,0,0,10648.49,4.07,0,207.85,21.51,263.86,8,64.56,0,0.94,0,2.43,2.97,0.41,0.66,12.66,85.9,54.82,7.92,22.59,574.75,1.49,1.54,1.34,0,62.64,0,0,0,0.79,0,124.94,0,0,5.52,0,32.81
 60-70,0.57,0,43292.71,12.39,0,657.18,8.75,1095.67,17.22,107.05,11.13,3,11.79,5.11,6.42,6.14,6.43,26.28,219.5,811.61,9.13,30.8,1030.95,0,2.35,0.59,0.71,138.56,0,0,0,0,0,137.1,0.81,3.43,18.93,54.95,65.23
 72-82,4.15,0.56,59623.14,80.87,2.41,1293.87,9.3,1634.97,34.68,232.88,16.36,11.38,17.53,22.81,16.26,31.35,35.19,6.73,500.68,864.7,41.26,43.66,2038.44,12.53,20.35,26.81,2.24,135.56,1.65,0,6.24,2.99,0,262.65,43.79,6.31,89.46,18.22,77.69
 84-94,5.48,0,147438.96,185.18,6.46,938.35,7.38,4860.25,37.3,151.76,11.41,4.22,22.65,25.01,22.61,28.37,18.38,11.48,365.73,1865.82,10.51,34.76,1673.82,7.96,20.19,30.77,4.96,408.65,0,0,19.19,1.74,0,112.63,12.84,11.88,54.74,230.4,29.78
 96-106,6.89,0,155982.59,417.97,36.31,1616.21,72.22,4548.14,25.27,451.87,46.91,18.96,69.48,32.33,26.74,30.25,177.45,2.62,727.09,2147.53,49.67,64.24,3418.05,12.55,103.41,55.63,26.71,860.23,0,0,32.6,19.8,0,106.14,35.14,41.33,190.44,39.46,158.51
108-118,6.57,0,157171.44,157.6,60.85,1150.38,19.09,5718.98,56.78,331.05,35.85,3,28.48,43.69,38.06,28.69,50.71,18.41,697.2,1110.75,26.89,67.03,2466.51,7.89,72.84,29.09,6.95,542.43,0.42,0,5.97,9.19,0,63.97,31.36,21.13,75.99,84.66,63.91
120,3.01,0,97907.92,91.17,29.88,942.6,17.66,3281.14,71.44,364.72,28.28,6.56,71.03,23.96,27.28,13.6,85.96,7.72,570.66,1098.97,37.49,74.7,2417.61,21.96,55.16,112.83,19.26,238.24,0,0,1.94,15.93,0,45.61,52.29,27.43,131.25,48.33,48.4
