stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.89,0,138.69,8381.57,316.13,0,64.42,0,12.41,0,6.92,139.5,51.4,32.51,0,123.43,0,2.97,1.76,0,2066.64,16.89,0,889.94,993.99,12.25,11.65,26.61,95.08,0,214.17,222.71,21.77,1.91,32.9,162.35,0,5.82,0,0
 24-34,4.4,0,40.57,1386.3,9.42,0,53.91,0,130.29,1.99,2.15,52.93,0,31.28,0,16.98,1.4,3.8,35.16,0,1139.75,11.4,28.68,232.48,422.68,0,19.94,34.19,0,24.83,53.02,0,1.87,2.66,7.24,51.04,0,28.75,0,5.35
 36-46,0,0,5.4,921.34,0,0,11.83,0,264.59,9.12,4.63,33.65,0,76.09,0,8.88,0.74,6.29,13.43,9.93,1054.17,6.73,96.25,87.78,283.4,8,6.73,40.72,0,16.79,59.43,1.05,0,5.57,0,35.31,1.69,4.64,0,0.61
 48-58,0.77,0,0.44,512.44,0.85,0,45.78,0,309.6,8.45,11.09,25.9,0,15.32,0.45,23.32,0,1.78,18.2,0.4,379.28,5.71,80.09,36.4,208.58,0,1.15,28.02,0,23.62,28.98,0,0,0,0,11.76,0.61,0.39,0.78,0
 60-70,0,0,0,304.29,0.57,0,20.25,1.01,310.11,40.64,11.02,20.09,0,0.61,0,6.56,0,5.81,1.72,0,376.24,4.6,47.62,8.33,105.21,9.65,1.09,11.61,0,0.82,16.23,0,0,0,0,13.67,2,1.86,0.64,0
 72-82,0,0,0,107.61,1.78,1.22,17.44,0,124.14,93.89,10.77,10.4,0,2.17,0,8,0,1.52,0.74,0,180.96,0.75,118.73,7.34,92.69,0,0,11.71,0,3.6,8.08,0,0,0,0,5.56,4.32,0,7.77,0
 84-94,0,1.23,3.3,120.02,17.09,0,10.78,0,138.04,59.7,6.08,20.27,0,0.8,0,19.44,0,0.63,2.99,0,147.44,0,50.55,25.47,30.6,0,3.75,25.2,0,5.06,11.42,0,0,0,0,2.11,6.04,0,8.58,0
 96-106,0,1.98,0,34.69,2.2,0,55.41,10.44,40.38,7.43,2.59,4.44,0,0.99,0.75,0.56,0.66,0,0,0,70.17,0,14.63,0,25.06,0,0,11.06,0,0,0.99,0,0,0,0,0,1.03,0,2.36,0
108-118,0,0,0,102.93,2.41,0,16.89,0,187.33,61.19,3.82,9.87,0,0,0.43,3.87,0,0,0,0,48.17,0,16.56,12.85,43.65,0,1.28,9.92,0,0,2.93,0,0.97,0,0,0,0,2.47,4.41,0
120,0,0,0,77.57,0,0,33.04,0,58.56,33.62,9.96,1.35,0,6.33,0,0,0,0,0,0,20.76,0,66.59,3.33,61.14,0,0,7.77,0,5.08,0,0,0,0,0,15.77,3.24,0,10.04,0
