stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,32.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,11.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,0,0,0,5.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,2.23,0,0
 24-34,0,0,0,0,1.29,0,0,1.19,0,0,0,0,0,0.73,0,0,0,0,0,0.6,0,0,0,63.35,0.92,0,0,0,0,1.9,0,10.79,0,0,0,0,2.54,0,0
 36-46,0,0,0.98,0,1.55,0,0,5.99,0,0,0,0,0,0,0,0,0,6.58,0,1.16,0,0,0,109.56,0,0,0,0,0,3.73,0,14.02,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,8.35,0,0,0,5.82,20.17,2.12,0.51,0,0,0,0,4.93,0,0,0.42,29.86,0,0,0,0,0,0,0,2.07,0,1.98,0,0,1.48,0,0
 60-70,0.81,0,36.99,0,15.59,0,0,48.86,0,0,0,55.47,147.54,0,0,0,0,25.28,0,2.14,0,0,0,46.09,1.31,1.48,0,0,0,1.01,0,15.73,0,0.82,1.62,0,2.66,0,0
 72-82,0,0,153.56,0,60.59,0.92,0,121.74,0,0,7.71,158.96,805.21,4.54,0,0.93,0,21.69,0,24.29,0,0,0.64,227.12,0,0,0,0,0,0,4.96,22.39,0,9.07,8.35,1.62,1.31,1.14,3.23
 84-94,0,0,161.7,1.69,65.08,0,0,132.7,0,0,0,196.35,1786.1,3.88,0,0,1,9.96,0,21.67,0.86,0,0,142.47,0,0,0,0,0,3.99,0,50.51,9.21,10.16,13.16,0,11.27,0,0
 96-106,0,0,145.74,1.22,50.58,35.88,5.91,209.28,0.61,3.22,4.02,292.35,2649.2,7.92,2.81,0,0.63,56.62,4.07,43,0,0,9.35,864.83,0,3.74,0,0,0,20.56,9.27,38.49,0,1.22,17.46,0.78,7.86,1.44,5.12
108-118,0,0,109.84,5.51,46.62,14.5,0.5,130.05,0.61,1.5,2.99,247.26,3093.04,5.02,1.5,1.25,3.13,67.84,0,53.12,0.42,1.96,1.56,921.02,0.97,3.16,0.96,0,2.63,18.26,0,68.33,0,4.32,9.96,3.61,1.52,1.97,0
120,2.37,0,68.86,0,24.77,10.82,0,78.74,0,0,0,237.02,2019.13,7.35,0,0,1.15,189.03,0,61.65,0,2.58,0,514.94,0,4.31,14.31,0,0,2.53,0,55.66,0,0,8.71,2.71,0,0,0
