stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.85,0,0,0,7.18,0,0,0,6.22,0,0,0,0,0,0,0
 14-21,0,0,16.79,0,6.72,0,0,5.19,0,0,0,0,0,0,0,0,0,0,15.86,1.01,0,0,0,0,0,0,4.15,1.01,11.28,0,0,0,0,0
 24-34,0,0,16.3,3.63,18.96,0.68,8.99,0.67,0,0.95,0,0,0,1.41,4.12,0,0,2.31,62.91,2.57,0,1.54,0,0,0,0,0,2.8,17.06,0,0,0,0,3.82
 36-46,0,0,13.15,0.56,6.09,2.07,26.28,1.77,0,0,4.15,0,0,0,5.92,0,0,0.85,61.32,6.49,0,4.19,0,0,0,0,0,0,20.03,0,0,0,0,6.16
 48-58,0,0,18.25,6.91,13.3,1.22,41.21,0,0,0,0,0,3.8,0,8.27,0,0.41,0,40.8,3.74,0,1.41,0,0,0,0,0,0,54.52,0,0,2.98,0.5,1.31
 60-70,0,0,14.21,9.84,3.82,6.82,48.75,0,0,0,1.77,0.77,0,0,28.11,0,0,1.01,26.01,7.53,1.27,3.01,0,0,0,0,0,0,44.73,0,2.35,0,2.26,0
 72-82,0,0.71,9.81,12.12,6.09,3.16,48.2,0.72,0,0.95,0.52,0,0,0,57.41,0,0.72,0,29.89,1.7,0.74,4.69,0,0,0,0,0,0,41.39,0,0.9,0,8.35,0.55
 84-94,0,0,19.34,7.54,6.91,3.25,24.74,3.11,0,0,0.73,0.9,0,0,60.55,0,1.88,0.88,14.46,8.98,0,0.68,0,0,0,0,0,0,33.74,1.33,0,2.93,0,15.81
 96-106,0,0,13.96,9.71,5.02,3.8,24.67,3.04,0,0,6.04,0,0,1.29,17.31,0,5.6,1.6,19.09,4.77,0,5.84,0,2.97,0,0,0,0,59.94,6.64,0,0,2.84,9.61
108-118,0,0,15.95,19.04,15.35,1.57,29.32,0.77,1.26,2.26,8.29,0.63,0,0,15.43,0.43,0,0,26.27,16.27,2.14,7.76,0,1.1,1.42,0,0,0,12.13,2.16,1.74,0,1.93,5.06
120,0,0,16.57,5.31,16.47,0,3.87,1.14,1.49,1.05,5.56,0,0,0,25.91,0,0,0,15.01,20.22,0,3.55,0,0,0,2.5,0,0,27.13,2.79,0,0,0,1.16
