stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,66.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.37,0,0,0,0,0,0,0,0,0
  5-6,6.94,164.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,7.03,0,0,0,0,17.35,0,0,0,0,0,0,0,0,0
  7-9,0,9.59,3.91,0,0,0,20,0,0,0,0,0,23.1,0,0,0,0,0,0,0,0,0,0,0,125.85,6.25,0,0,73.11,0,24.21,0,0,0,0,0,0,0,0,0
 10-12,0,5.05,0,0,0,0,15.36,0,0,0,0,0,20.1,0,0,0,0,0,0,0,0,0,0,0,276.26,3.12,0,0,49.38,0,9.39,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,28.13,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,0,0,0.93,23.73,0,1,0,0,0,20.44,1.77,0,3.7,3.75,0,0,0,0,0
 24-34,0,0,0,7.24,0,0,15.17,0,0,0,0,0,0,0,0,4.06,0,5.62,0,0,7.4,2.05,0,2.1,51.31,1.26,1.61,28.83,0,0,19.34,0,0,0,19.91,0,0,1.62,0,0
 36-46,0,0,0,7.6,0,0,38.37,0,1.15,0.75,4.94,0,0,0,0,5.3,0,0,0,0,3.9,2.72,0,0.72,45.19,3.47,2.59,39.05,0,0,34.07,0,0,0,71.81,0,0,0,0,0
 48-58,0,0,0.41,12.86,0,0,40.15,0,0,0.42,2.94,1,0,0.69,0.37,0.89,2.21,19.37,0,1.56,7.32,0,0.66,2.3,52.66,0,1.16,114.8,0,0,20.16,0,0.37,0,27.48,0,0,1.29,0,0.54
 60-70,0,0,10.35,10.49,0,0,258.83,0,0,0,12.8,54.14,0,0,0,0,0,74.17,0,0,10.44,0,0,0.93,145.79,0,2.52,285.71,0,0,3.32,0,0,0,6.62,0,0,0,0,0
 72-82,0,0,0,7.6,0,0,621.46,0,0,1.4,19.59,118.13,0,0,0.71,0.54,0,128.78,0,0,18.98,0.73,3.96,2.67,214.3,0.58,2.93,489.68,0,0,1.96,0,0,0,10.2,1.42,0,0,0,0.55
 84-94,0,0,0,19.65,0,0,354.57,0,1.71,0,19.18,196.57,0,0,0,0,0.61,135.61,0,1.84,7.51,0.89,0,4.01,158.79,0,0,493.34,0,0,11.72,0,0.62,0,1.57,0,1.95,0,0,0
 96-106,0,0,0,12.57,8.56,0.56,933.37,0,2.85,1.54,19.18,133.24,0,3.61,1.27,0,0,353.24,14.25,0,15.74,0,3.15,0.88,146.14,0,3.9,759.07,0,0,11.27,0,0,0,2.95,0,0,3.32,1.06,6.55
108-118,0,0,0,13.44,0.84,0,821.64,0.49,0,3.22,27.51,130.12,0,0,0.48,0.65,1.33,158.54,0.97,0,12.47,0,4.77,4.93,145.64,0,2.4,561.72,0,1.06,10.98,0,0,0,2.53,2.39,0,0,0,0
120,0,0,0,8.45,0,0,444.99,0,4.43,0,0,65.09,0,0,14.06,1.25,0,236.76,1.05,0,3.28,3.43,10.49,17.76,389.18,1.25,1.77,1090.69,0,0,0,0,0,0,14.14,0,0,0,2.31,17.42
