stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,70.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.21,0,0,0,0,0,0
  5-6,26.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.03,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.09,0,10.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.28,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,9.03,0,0,0,0,0,0,0,0.94,0,0,1.02,0,0,0,1.09,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.65,0,1.89,0,4.17,0,0,4.72,0,0,0,0,0,0,0,8.19,1.32,0,1.9,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,2.06,0,18.18,0,0.58,4.57,0,0,0,0,0,0,0,2.87,2.09,0,0,0,0,3.1,0,0.63,0
 48-58,0,0,0,0,0.42,0,6.56,5.82,48.04,0,0.43,2.78,0,0,0,0,2.76,0,0,7.11,1.96,0.38,0,0.61,0,3.7,0,1.62,0.68
 60-70,0,0,0,0,3.75,0,6.6,3.8,47.93,0,0.85,0,3.05,0,0,0,10.32,0.69,1.08,28.75,4.95,0,0,0,0,4.73,0,4.58,0
 72-82,0,0,0,0,7.24,5.33,7.83,0,76.82,1.94,3.63,3.1,21.95,0,0,0,13.01,0,1.99,54.69,20.3,0,0,0,0,2.51,0,5.14,0
 84-94,0,0,0,2.07,6.69,11.34,0,2.61,48.4,0.59,5.12,0,17.26,0,0.81,6.31,23.41,0,0,44.11,8.53,0,2.95,0.64,0.61,0,0,5.54,0
 96-106,0,1.08,0,1.61,14.2,13.76,10.85,0,43.58,4.91,10.76,2.79,26.22,0.93,0,4.6,26.94,7.85,0,80.92,22.98,0,0,0,0,2.04,1.59,7.79,0
108-118,0,0,0,0,14.82,2.61,6.01,0,37,0,18.19,3.16,25.55,0,0,0,18.79,1.08,2.99,82.05,12.41,0,0,0,0,2.93,0.48,4.65,0
120,0,0,0,0,2.68,0,1.75,1.45,9.22,1.78,8.16,6.65,16.6,0,0,0,25.93,0,3.65,90.41,33.64,0,0,0,0,12.11,0,5.63,0
