stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,gut,heart,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  5-6,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.13,0,0,17.88,0,0,10.77,0,0,0,0
 14-21,0,0.84,0.84,0.81,0,0,0,0,0.99,0,0,0,0,0,2.81,4.43,0,1.32,0,3.32,0.98,0,0,0.91,8.26,0
 24-34,0,0.83,0,0.78,3.01,0,0,0,0,0,0,1.54,0,0,2.18,9.67,0,0,0,2.34,0,0,0,0.66,0.77,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,7.54,0,0,0,4.61,0,0,0,0,3.61,0
 48-58,0,0,0,2.6,0,0,0,0,0,0,0,1.5,0,0,0,15.15,0,0,0,4.54,0,0,0,0,0.84,0
 60-70,0,0,0,5.88,0,0,0,0,0.62,0,0,0.79,0,0,0.6,27.29,0,0,0,4.23,0,0,1.46,0,0,0.7
 72-82,0,6.92,0,16.71,0,0,0,0.87,0,0,0,3.17,0,1.32,0.58,14.02,0,0,0,1.43,0,0,0,0,1.35,0
 84-94,0,0,0,6.96,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,5.4,0,0,0,0,0,0
 96-106,0,1.48,0,7.98,0,0.64,0,0,0,0.67,0,2.57,1.94,0,0,5.9,2,0,0,0.93,0,0,0,0,1.3,0
108-118,0,2.61,0,3.01,0,0,2.46,0,0,0,3.15,3.8,0,0,0,8.01,0,0,0,2.13,0,0,0.76,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
