stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,19.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.79,263.43,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,0,0,0,0,0
  7-9,4.29,8.95,11.06,0,4.18,0,0,36.83,0,0,0,0,0,146.33,0,36,5.76,0,0,0,0
 10-12,0,0,0,0,0,0,0,10.76,0,0,0,0,0,32.38,0,7.41,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,1.92,0,0
 24-34,0,0,0,0.7,1.46,0,0,0,0,0,0,0,0,2.29,0,0,0,0,0.61,0,3.82
 36-46,0,0,0,0,20.45,0,0,0,0,0,0,0,0.69,5.86,0,0,0,0,0.61,0,0
 48-58,0,0,0,0,41.17,0,0,0,0.55,0,0,0,0.87,2.57,0.7,0,0,0,2.15,0,0
 60-70,0,0,0,0,51.87,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,0.9,0
 72-82,0,0,0,0,56.47,0,0.55,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0.81
 84-94,0,0,0,0,58.41,0.85,1.16,0,0,0,0,0.63,1.13,2.71,0,0,0,0,0,0,0
 96-106,0,0,0,0,20.99,0,0,0,0,0,0,0,6.51,0,0,0,0,0,0,5.05,1.39
108-118,0,0,0,0,25.02,4.98,0,0,0,2.48,0,0,0,3.91,0,0,0,0,0,0,0
120,0,0,0,0,43.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
