stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,notochord,periderm,somites,spinal_cord,visceral_smooth_muscle
  3-4,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.09,0,0,1.15,0,0
 24-34,0,0,0,0,0,0,0,0,0.67,0,0,0.67,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0
 48-58,0,0,0,0,1.51,0,0,0,0.45,0,0.99,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,3.49,0,2.56,0,0,0,0,0
 72-82,0,5.92,1.17,0,1.09,0,0,0,1.98,0,3.13,0,0,0,0,0.57
 84-94,0,3.15,0,0,0,0,1.37,0,3.61,4.83,0,0,0,0,0.73,0
 96-106,0,16.27,0,0.57,0,1.35,2.22,0,7.96,0,2.31,0,0,0,0,1.57
108-118,0,14.93,0,0,0,0,3.05,0.65,5.73,0,0.84,0,0,0,0,0
120,0,32.62,0,0,0,0,2.32,0,0,0,0,0,1.39,0,0,0
