stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mucous,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,37.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.44,0,0,0,0,0,0,0,0,0,21.38,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77,0,0,3.93,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,3,0,0,0,0,0,1.23,0,8.5,2.52,0.8,1.86,0,0,1.23,0.84,6.84,0,0,0
 24-34,0,0.68,1.11,6.49,0,0,0,0,0,0,0,1.45,0,27.78,0,0,0,0,0,0,0,1.78,0.8,0,0
 36-46,0,0,0,7.21,0.72,0,0,0,0,0,0,1.73,0,19.78,0,0,0,0,0,0,0,16.73,0,0,0
 48-58,0,0,0,15.1,0,0.89,0,0,0.41,0,0,0,0,22.92,0,0,0,0,0,0,0,5.12,0,0,0
 60-70,0,0,0,11.05,0,0,0,0,0,0,0,0,0,12.51,0,0,0,0,0,0,0,0,0,0,7.08
 72-82,0,0,6.66,35.07,0,0.61,0,0,0,0,0.72,0.88,0,22.02,0,0,0,0,0,0,0,0,0.76,0.53,0
 84-94,0,0,0,6.26,0,2.13,0,0,0,0,1.29,13.21,0,8.77,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,1.32,0,1.23,0,0.68,0,0,0,0.84,1.36,6.07,0,11.64,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.37,0,1.1,1.17,0.85,0,0,8.19,0,2.77,12.38,0,0,0,1.59,4.46,0,0,0,0,0,0
120,0,0,0,0,0,3.36,0,0,17.67,0,14.47,0,0,23.24,0,0,0,0,0,0,0,0,0,0,0
