stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,24.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04,0,0,0,0,0,0,0,1.14,0,0,3.36,0,0,0,0,0
 24-34,0,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,1.27,22.02,0,0,0,0,0,0,0,0,0,0,1.78,0,0,0.85,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.19,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34,0,0
 48-58,0,0,0,0,0,0,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,9.32,0,0,0,0,0,0,0,0,0,0,8.14,0,0,0,0,0
 60-70,0,0,0,0,0,138.77,6.99,1.08,0,0,0,75.11,0,0,0,0,0,0,0,0,0.95,0,0,0,11.63,0,0,0.63,0,0,0,0,0,0,0,2.31,0,0,1.92,0,0
 72-82,0,0,0,4.68,6.92,2945.54,58.64,0,2.21,0.62,21.99,239.71,0,8.52,1.49,2.66,0,0,7.81,0,39,0.56,0.88,0,325.17,0,1.34,2.74,0,0,19.1,0,0,0,1.5,23.67,0,0,8.47,1.22,4.49
 84-94,0,0,0,8.31,17.19,6004.35,118.47,0.7,0.6,0,5.61,1595.98,0,2.31,0.73,0,0.68,0,5.26,0,50.12,11.6,3.12,3.61,302.37,4.15,0,0,0,8.48,12.32,0,0,0,0,6.45,7.79,0,8.86,3.56,6.56
 96-106,0,11.83,0,135.21,242.21,28968.27,653.04,1.37,21.2,29.23,194.64,1162.44,1.32,16.45,45.41,16,18.3,15.32,284.6,0.75,421.93,18.77,34.76,60.98,2799.59,4.78,33.35,30.55,0,17.68,220.96,1.35,0,1.38,1.38,61.32,7.05,9.75,88.59,34.61,66.4
108-118,0,15.11,0,204.34,203.6,82205.57,2029.84,14.72,40.67,29.88,440.99,644.51,0,4.57,33.75,28.22,82.58,22.67,133.69,18.14,807.9,55.01,22.81,82.29,4241.17,16.24,31.16,33.27,0,15.93,370,0,0,4.18,3.55,70.25,14.61,21.01,78.33,16.41,180.98
120,0,10.01,3.32,257.43,177.41,36881.81,1233.72,37.22,37.96,40.09,461.39,232.46,0,41.67,102.03,13.81,37.88,24.03,196.82,9.07,947.12,6.27,39.14,51.57,5473.94,16.55,18.52,55.68,0,65.83,145.22,0,0,165.25,12.38,149.68,14.03,39.56,105.98,67.34,40.32
