stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,67.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16,0,0,0,0,0,0,0,0
  5-6,9.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23,0,10.44,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17,0,0,0,0,0,0,0,0,1.03,0,0,4.53,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,2.96,0,0
 48-58,0,0,0,0,0,1.05,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0.46,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.85,11.08,0,0,5.97,0,0,0,0,0,32.58,0,0,0,0,0,0,0,0
 72-82,0,0,0,5.86,0,13.12,0,12.77,0,7.39,0,0,0,6.85,4.27,0,0,0,2.81,13.04,0,0,28.02,0.76,0,0,0,0,970.57,0,0,1.58,1.21,0.49,4.95,0,7.11
 84-94,0,0,6.34,0,0,4.43,0,18.38,0,0,0.72,0,0,7.87,0,0,0,0,1.26,4.21,0,0,10.03,0,0,0,0,0,1114.65,0,0,4.05,0,0,1.8,0,5.18
 96-106,0,1.15,47.54,26.52,1.05,144.92,0.95,183.31,1.21,20.24,6.8,0,3.08,117.69,10.73,9.37,2.99,0,46.22,120.37,2.42,4.54,263.34,0,3.3,2.31,0,0,10297.69,1.61,0,21.59,2.91,0,16.14,3.49,1.92
108-118,0,0.75,89.34,3.01,0.9,53.26,0,382.56,2.26,19.72,3.94,0,0.6,189.82,0,13.44,3.8,2.1,23.45,177.39,0.79,6.48,182.52,0.55,1.31,4,0,1.58,10725.16,0,0.44,8.09,4.02,0,3.12,0,1.93
120,0,0,135.94,8.9,0,33.47,1.26,331.69,0,11.45,6.91,0,0,71.36,0,0,1.28,0,30,151.5,8.5,5.58,126.73,0,0,3.63,0,0,7676.21,0,0,9.61,5.75,0,2.64,0,0
