stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.84,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.59,0,0,2.93,0,0,0,1.6,0,0,0,0,0,0,3.94,0,0,0,32.21,7.27,0,0.94,0,1.07,3.46,2,4.01,2.36,10.63,0,0,0
 24-34,0,0,0,0,6.52,17.12,0.68,0,0,0,0.61,0,0,0,0,4.89,1.09,0,22.54,54.7,0,2.43,0,0,4.4,0,0,25.84,9.63,7.02,0,0,3.2
 36-46,0,4.05,0,0,7.65,109.35,0,0,6.25,0,0,0,1.15,0,8.55,5.38,7.36,0,25.45,107.11,1.86,0,0,0,25.17,0,0,43.77,0,24.16,1.85,0,0
 48-58,0,1.07,2.43,0,45.23,129.75,0,0,16.61,0.64,0,0,0,0,0,18.03,0,0,11.09,111.56,0.77,0,0,0,6.14,0,0,59.61,0,18.98,0.66,0,0
 60-70,0.86,11.58,5.9,0,44.36,77.96,0,1.53,12.86,2.28,0,0,0,2.69,0,16.1,0,0,6.74,82.43,0,0,2.2,0,5.69,0,0,40.83,0,16.17,0,0,0
 72-82,0,1.45,2.46,1.04,20.76,52.29,0,0.6,18.76,0,0.63,0,0.67,0,0,23.57,0,2.92,10.88,75.83,1.67,2.07,0.51,0,0,0,0,11.46,0,18.68,0.94,3.92,7.94
 84-94,0,2.27,13.07,0,40.07,29.66,0.62,1.27,7.95,0,1.19,1.13,0,0,0,11.04,2.28,2.23,6.05,81.74,0,2.63,1.85,0,4.03,0,0,30.51,0,4.49,8.06,6.06,0
 96-106,0,3.25,0,0.97,23.56,21.11,0,1.05,13.86,0,6.8,0,0.63,10.11,0.98,31.33,4.91,0,14.96,57.28,0.62,1.59,0.73,1.94,8.75,0,0,9.96,0,3.05,4.21,2.98,0
108-118,0,4.24,0,0.44,29.85,18.94,0,1.03,5.21,0.69,3.56,0,5.85,0,0,35.61,2.96,0,9.9,83.1,0,0.7,0.63,0,1.15,0,1.51,27.14,0,0,2.46,0,0
120,0,5.04,1.8,0,10.43,15.65,0,0,7.98,0,4.39,0,0,0,0,35.14,0,0,0,44.46,4.81,0,0,0,1.39,0,0,10.52,0,0,3.23,4.27,0
