stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,119.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2564.21,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.98,284.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1,0,0,0,23.7,6102.21,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.08,13.57,0,21.89,0,0,0,37.1,0,0,0,0,0,29.76,0,0,0,0,0,0,0,0,0,0,0,382.31,24.06,0,0,115.72,2635,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.41,0,46.02,0,0,0,20.84,0,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0,723.77,22.01,0,0,165.5,1006.23,4.37,0,39.89,0,4.89,0,0,0,0,0,0
 14-21,3.24,0,0,1.84,553.65,1.23,0,10.35,0,2.92,0,0,7.92,56.98,0,0,326.46,0,0,0,0,9.23,69.1,0,4.61,110.27,8.6,0,63.14,0.94,5258.17,0,10.01,3.96,2.45,4.78,20.37,0,0,1.14,0,0
 24-34,0,0,0.81,3.5,273.42,1.03,0,11.18,0,13.32,0,0.88,7.67,74.63,0,0.6,371.01,0,8.55,6.19,0,25.92,210.83,0.89,10.04,317.57,0.63,48.75,64.87,0,5203.02,0,0,5.15,0,2.18,17.91,0,0,3.14,0,1.67
 36-46,0,0,0,0.56,141.24,0,0,21.78,4.21,26.19,0,0.76,1.72,11.61,0,0,197.89,0,8.91,0,1.15,8.48,192.74,0,2.35,175.05,1.73,50.02,38.93,0,5017.69,0,0,1.81,0,0,26.45,0,0,9.18,0,0
 48-58,0,0,0,0,192.44,0,0,50.16,0,52.67,0.98,10.86,8.2,19.38,2.16,0,103.71,0.54,9.93,0,0.39,19.4,127.96,0,1.87,169.03,0,39.32,55.26,0,4180.57,0,0,0.74,0.94,0,31.61,0,0.51,2.12,0,2.96
 60-70,0,0,0,0,293.15,0,0,65.36,0,32.13,2.2,4.19,1.51,10.71,0,0,117.53,0,17.11,0,0,11.8,86.62,0,1.46,92.98,0,28.95,30.88,0,2534.47,0,0,0.88,0,0,8.39,17.55,0,0,0,9.79
 72-82,0,0,0,0,567.34,9.76,0,57.9,0,28.15,0,11.62,58.43,12.19,0,0.91,206.63,0,51.8,1.61,0,13.57,137.47,1.06,1.42,77.51,0,20.48,19.01,0,1673.2,0,0,0,0,0,5.91,72.72,0,5.51,4.01,0
 84-94,0,0,0,2.02,1171.86,4.59,0,52.19,0,84.76,0.8,4.43,96.87,11.73,0,5.53,320.62,0,70.62,1.49,0,15.33,213.08,0,2.99,59.15,0.61,57.44,26.75,0,3641.91,1.4,0,0.87,0.73,0,1.51,336.67,0,0,0,10.07
 96-106,0,0,0.6,0,1631.8,22.79,3.86,72.34,1.98,123.46,1.11,3.96,204.34,5.03,0,3.7,440.45,0,114.85,0,7.1,33.88,177.98,0.59,1.83,160.06,0,70.57,19.05,0,3105.59,0,0,0,0,0,4.35,519.43,0,6.63,1.75,1.24
108-118,0,0,0,0,1303.66,7.66,0,29.99,0,124.95,2.87,7.01,158.41,0,0,7.93,362.91,1.37,79.04,2.5,7.48,23.95,174.55,0,0.75,80.77,0,49.7,18.72,0,2295.68,0,0,0.62,0.44,0,0,473.46,2.47,0,2.42,1.1
120,0,0,0,0,839.24,14.64,0,17.68,0,51.74,0,5.22,86.13,0,0,1.95,157.64,0,35.15,5.65,0,13.82,95.53,0,0,144.89,0,12,10.18,0,1170.69,0,0,0,0,0,0,190.96,0,0,0,0
