stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0.9,0,0,1.47,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,1.46,58.76,2,0.98,0,0,0,0,0,0,57.23,0,0,0,0,0
 24-34,0,0.66,0,0,0,17.77,0,0,0.89,0.65,0,0,0.88,0,0,0,11.35,5.52,0,0,1.51,728.81,0.59,47.03,0,0,5.13,0,0,0.74,320.62,0,0,0.64,0,0
 36-46,0,0,3.2,0,0,44.45,0,0,0,4.28,0,1.06,0,0,0,0,0,7.71,0.65,0,0,1381.13,0,54.67,0,0,2.95,0,0,0,426.99,0,0,1.51,0,6.11
 48-58,0.58,0,8.15,0,0,249.81,0,9.01,1.28,19.6,0,0,1.37,0,0,0.44,2.5,16.72,0.95,0,0,1728.94,0,49.99,7.79,0,6.71,0,1.48,0,425.05,0,0,1.87,0,1.48
 60-70,0,0,7.6,0.59,0,1142.4,0,11.39,0.81,23.56,0,0,6.44,0.58,0,1.33,0,46.03,0,0,0,2684.72,0,45.34,1.23,0,3.12,0,4.59,0,496.05,0.81,0,0.68,0,16.83
 72-82,0,2.59,25.85,8.15,0,2698.79,0.55,1.37,1.5,65.13,2.33,0,2.88,0,1.95,1.88,5.32,63.72,0.56,0,9.29,3359.18,0.53,64.55,0.61,0,19.64,0,1.5,0,483.99,1.01,4.3,1.7,0.67,28.74
 84-94,0,2.83,27.28,3.3,0,2176.74,0,0,2.47,99.44,0,0,6.37,1.25,0,4.61,9.21,75.83,0.86,0,1.8,2498.65,0.62,65.47,5.05,0,12.81,0,0.8,0,273.44,0.9,1.9,2.56,1.54,0
 96-106,0,3.07,15.53,27.93,0,2909.29,0,0,6.65,112.2,1.27,2.53,4.51,1.39,1.03,1.08,12,66.53,0,1.02,4.54,2231.67,0.82,86.98,5.1,6.23,18.25,0,0,0,152.15,9.01,0,7.47,1.29,16.62
108-118,0,1.97,31.79,14.04,0,2491.63,1.3,1.85,3.07,80.08,0.88,0.69,1.5,0.6,0,0,5.31,57.54,0,3.76,3.54,2642.82,0.48,67.33,0,2.35,12.49,8.03,0,0,112.19,6.54,1.1,1,1.91,1.86
120,0,0,64.84,41.4,4.06,3305.73,1.01,2.21,0,256.05,3.02,3.06,0,0,0,0,7.54,218.78,0,0,15.31,6244.66,2.06,145.46,13.55,38.54,8.55,2.39,0,0,308.5,0,9.46,2.9,11.48,0
