stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94,0,0,0,0,0,0,0,0
 14-21,0,2.03,0,0.9,0,0.86,0,0,0,0,0,0,3.51,0,2.23,0,0,0,0.96,0.9,7.31,8.39,0
 24-34,0,0,0,1.43,0,3.51,0,0,0.65,0,0,0,0,0,42.31,0,2.24,0,0.76,0,1,9.05,0
 36-46,0,0,0,1.24,0,0,0,0,0,0.59,0,0,5.57,0,76.37,0,1.94,0.61,0,0,0,14.05,0
 48-58,0,0,0,5.82,0,2.28,0,0,0,3.05,0,1.98,0.52,0,90.47,0,0.5,0,0.86,0,0,12.21,0
 60-70,0.9,0.57,0,33.4,0.84,2.57,0,0,0,1.82,0,0,0,5.26,70.6,0,0.98,0,0,0,0,23.43,0
 72-82,0.97,8.77,0,30.53,0,5.24,0,0,0,5.54,0,0,2.78,0,68.84,0,0,0,0,0,0.53,11.85,0.87
 84-94,0.73,1.7,0,9.56,0,2.21,0.63,0.65,0,2.25,0,0,4.52,0,34.25,0,8.48,0,4.32,0,0,0.93,0
 96-106,0,14.98,0.71,10.81,0,4.32,0.64,0,0,5.75,0.65,0,1.54,0,46.97,0,3.94,1.16,1.97,0,0,2.47,0
108-118,0,13.03,0,11.03,0,4.63,0,0,0.96,7.32,0,0,1.02,0,26.03,0,0.46,3.55,0.89,0,0.48,0,2.89
120,5.94,26.91,0,6.12,0,0,0,0,0,1.99,0,0,0,0,54.09,1.33,0,0,0,0,0,0,0
