stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,28.4,530.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.34,0,0,0,0,0,0,0,0
  5-6,6.35,119.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.22,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.99,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.2,5.45,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47,3.54,0,0,0,0,0,7.65,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,6.69,0,0,0,14.86,33.89,0,0,0,0,2.29,0,0,10.98,42.13,0,0,0
 24-34,0,0,0.71,0,6.97,0.66,0,0,0,5,16.78,0,0,0,0,0,0,0,0,0,0,27.29,0,0,17.71,42.99,304.99,0,0,0,0.99,0,3.01,0,5,32.92,0,1.75,0
 36-46,0,0,0.94,0,17.25,0,0,7.43,0.59,14.06,104.88,2.81,0,0,2.63,0,0,0,0,0,2.29,126.9,0,0,25.47,44.05,327.67,0,0,0,0,0,7.11,0,1.34,26.67,0,6.03,0
 48-58,0.58,0,1.01,0.43,39.02,0,0,9.32,0,8.79,174.6,5.59,0,5.26,4.34,0,0,0,0,5.79,0,303.26,0,0,31.4,64.76,218.09,0,0,0,0,0,1.77,0,0,13.4,0,12.26,0
 60-70,0,0,0,0,38.18,0,0,17.09,0,21,328.55,8.97,0.9,0,9.2,0,0.82,0,0,0,3.12,744.34,0,4.73,45.89,51.05,150.47,0,0,0,0,0,2.42,0,0,7,11.15,3.33,1.48
 72-82,0,0,0,0,56.03,3.59,0,100.32,0,31.04,510.36,18.11,1.87,0,18.05,0,1.14,0,0,1.86,0,1433.26,0.56,11.28,89.23,63.99,108.43,1.1,1.13,1.81,0,0,2.38,1.5,0,3.85,33.12,12.11,17.04
 84-94,0,0,6.72,0,117.05,0,0,75.21,0,35.8,310.33,3.38,2.09,0,14.81,0,0,5.63,1.91,0,0,1164.39,0,20.59,77.57,27.96,183.75,0,0.79,10.42,3.99,0,11.43,0,0,6.94,27.92,20.2,25.74
 96-106,0,0,1.1,1.07,112.38,0,0,61.61,0,27.61,262.63,14.75,5.6,0,22.87,2.88,1.27,1.03,0,2.82,0,1405.81,0.62,25.9,63.75,70.78,132.81,0,1.65,1.94,3.29,0,2.76,0,0,2.16,30.55,9.14,17.97
108-118,0,0,0,0,94.1,1.58,0.5,58.46,0,53.2,259.42,6,14.67,0,9.8,0.54,5.95,3.81,0.87,0,0,1756.83,0,21.21,87.94,74.07,103.26,2.53,3.8,4.22,0,0,12.15,0,0,0.98,38.3,15.73,8.46
120,0,0,0,0,76.19,0,0,29.51,0,17.24,147.65,0,7.16,0,7.96,14.61,2.11,1.18,0,0,0,915.51,3.12,28.81,47.9,53.69,158.62,0,0,15.66,0,0,6.13,0,0,0,13.7,26.97,44.73
