stage,epidermis,eye,glial,heart,iridophores,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0.94,0.93,0,0,1.81,0,0
 24-34,0,1.15,0,1.22,0,0,0,77.64,2.68,0,10.51,0,0
 36-46,0,1,0,0,0,0,0,199.86,2.5,0,18.74,0,0
 48-58,0,13.91,1.03,0,0,4.3,0,231.3,0.53,2.32,26.38,0,0
 60-70,0,27.43,1.8,0,0,0,0,345.19,0,4.06,15.23,0,0
 72-82,0,35.52,2.74,0,0.62,3.58,0,316.97,1.01,0,16.86,0,0
 84-94,2.29,22.19,1.58,0,0,0,0,187.57,0,0,15.91,0,0
 96-106,0,27.42,0,0,0,0,0,102.49,0,0,1.43,2.17,0
108-118,0.94,14.97,0.93,0,0,4.9,0,127.67,0.46,0,0,0,1.05
120,0,14.14,10.29,0,0,4.34,0,128.28,0,0,6.11,0,0
