stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.06,241.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,172.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51,0,0,0,0,0,0,0
  7-9,12.53,0,0,16.91,0,8.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.04,0,0,0,18.22,0,0,0,0,0,0,0,0
 10-12,0,9.42,0,18.73,0,9.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.05,0,0,0,15.11,0,4.64,0,0,0,0,0,0
 14-21,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,11.22,1.38,0,0,0,0,0,0,0.83,2.06,0,0,5.77
 24-34,0,0,0,0,2.49,6.2,0,0.86,0,0.97,0,0,0,0,0,0.78,2.71,0,0,3.58,77.91,0,0,1.3,0,3.97,0,0.85,0.72,8.67,0,0,0.63
 36-46,0,0,0,0,0,10.5,1.54,0,0,6.11,0,0,0,0,0,0,6.75,0,0,1.27,48.32,0,0,0,0,6.99,0,0,0,5.78,4.95,0,0.66
 48-58,0,0,0,0,2.02,11.15,0,0,0,9.49,0,0.83,0,0.42,0,0,3.28,0,0.42,1.51,18.94,3.15,0,0.8,0,0,0,0,0,7.11,0.82,0,0
 60-70,0,0,0,0,0,8.68,0,0,1.06,12.77,0,0,0,0,0,0,28.91,0.73,0,1.78,26.54,0,2.15,0.62,0,0.77,0.76,0,0,2.93,5.38,0,0
 72-82,0,0,0,0,0,7.96,0,0,1.56,3.18,0,0,3.37,0,1.2,0,13.16,0,1.82,0,8.93,0,0,0,0,0,0,0,0,0.81,0,0,0
 84-94,0,0,1.15,0,0.87,0,0,0,0,0.8,0,0,0,0,0,0,4.32,0,0,0,7.75,0,4.81,0,0,0,2.26,0,0,0,0,0,0
 96-106,0,0,0,0,1.41,4.37,8.17,0,0,0,0.68,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,1.04,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.56,0,1.08,0,0,0,3.04,0,0,3.99,1.71,0,0.7,24.56,0,0,0,0,0,0,0,0,0,0,1.19,0
120,0,0,0,0,3.45,26.86,0,1.11,0,22.57,0,0,0,2.05,4.16,0,10.66,0,0,0,31.29,0,0,0,0,0,0,0,0,0,1.54,0,0
