stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  5-6,20.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75,0,0,11.84,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,46.53,0,0,22.28,0,0,0,0,0,0,0,0,0,4.37,2.9,0,0,0,7.89,0,3.03,0,1.06,0,0,0,0
 24-34,0,0.8,0,94.97,0,17.13,127.83,0,0,0,0,0.64,0,0,3.94,1.79,0,41.26,0,3.14,0,57.46,0,0,0,1.71,0,0,0,0
 36-46,0,0,0,45.63,0,29.34,73.48,0,0,0,2.14,0,0,0,1.37,0.75,0,28.97,1.17,4.61,0,94.59,0,0,0,2.18,0,1.23,0,0.85
 48-58,0,0,0,33.04,0,34.06,128.22,1.48,2.79,1.69,0,0,0.71,0,14.27,1.38,0,30.71,4.76,1.48,0,143.19,0,0,0,3.59,0,0,0,0
 60-70,0,0,0,13.52,0,17.22,84.15,2.1,1.38,0,0,5.4,0,0,21.27,0,0,34.29,3.08,0,0,112.71,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,8.05,0,17.46,73.21,0.96,0.78,0,0,16.83,0,0,31.08,0,0,33.7,2.67,1.81,0,88.66,0,0,0,7.11,0,0,0,0
 84-94,0,0,0,15.28,3.39,12.33,90.57,0,1.45,1.37,0,28.1,0,0,50.8,0,0.68,7.22,0,0,0,168.08,1.4,0,3.45,0,0,3.38,0,0
 96-106,0,0,0,26.55,0,20.36,97.71,0,6.52,2.57,0,25.66,0,0.59,34.25,1.24,1.21,16.53,7.48,2.69,0,109.19,0,0,0,0,0,0,0.93,0
108-118,0,0,0,20.49,0,18.58,134.78,0.83,3.67,0,0,24.26,2.32,0,25.18,4.67,0,15.31,0.99,1.11,0,80.92,0,0,0,2.77,0.5,1.35,0,0
120,0,0,0,13.82,0,14.06,141.93,0,14.94,9.14,1.19,13.35,0,0,11.47,0,0,3.45,0,1.86,0,43.37,0,0,0,0,0,0,0,0
