stage,axial,blastomeres,endoderm,eye,hatching.gland,neural
  3-4,0,62.38,0,0,0,0
  5-6,14.02,120.72,0,0,0,0
  7-9,0,0,0,0,3.46,28
 10-12,0,0,6.05,4.39,0,10.25
