stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.87,252.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16,0,0,0,0,0,0,0,0,0
  5-6,21.81,384.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.18,0,0,0,0,0,0,0,0,0
  7-9,18.01,20.87,0,0,0,0,0,110.62,0,0,0,0,0,16.91,0,0,0,0,0,0,0,364.97,10.95,0,0,120.2,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.97,0,7.73,0,0,0,28.7,0,0,0,0,0,99.93,0,0,0,0,0,0,0,197.93,9.94,0,0,79.06,0,0,6.03,0,41.11,0,0,0,0,0,0
 14-21,0,0,0,1.74,15.84,28.63,0,7.71,0,0,0,0,0,0.99,17.91,0,0.93,0,3.9,0,10.54,40.2,0.81,0,0.89,0,0,0.84,0,18.25,0,17.23,17.01,0,0,0,0
 24-34,0,0,0,0,1.7,1.36,0,11.77,0,0,0.76,0.8,0.66,0,29.91,0,0,1.51,2.51,0,2.13,58.51,0.74,2.53,0.73,0,0,0,0,0,0,0,11.16,0,0.68,0,0
 36-46,0,0,0,0,2.29,0,0,5.43,0,0.87,0,3.13,1.04,0,158.29,1.03,0.65,0,2.87,0,3.22,68.9,0,0.66,0.9,0,0,14.4,0,1.63,0,0,4.4,0,1.34,0,0
 48-58,0,0,0,0,0.45,0,0,8.84,0.38,0,0,0.5,0,0,46.74,0,0,0,2.85,0,0.43,53.03,0,0,0,0,0,3.07,0,0,0,0,3.04,0,0.42,0,0.54
 60-70,0,0,0.7,0,0.88,0,0,29.11,0,0,1.04,0.67,0,0,207.12,0,0,0,2.4,0,2.18,93.95,0,0,0,0,0,1,0,0,0,0,12.35,0,3.51,0,0
 72-82,0,0,0,0,1.04,0,0,28.1,0,5.32,0,2.92,0.81,0,34.64,0,1.06,0,4.81,0,0.67,73.33,0,0.9,0,0,0,0,0,0,0,0,1.83,0,0,0,0
 84-94,0,0,0,0,2.01,0,0,8.9,0,0,1.47,2.24,0,0,75.44,0,0.67,0,2.5,0,5.85,28.11,0,0,0.74,0,0.57,2.43,0,0,0,0,0,0,0.69,0,0
 96-106,0,0,0,0,1.88,12.62,0,8.71,0,0.9,0,0.59,0,0,172.77,0.66,0,0,9.62,0,1.38,52.28,0,4.04,0,0,0,7.59,0,0,0,0,2.02,0,0,0,0
108-118,0,0,1.21,0.61,7.01,3.49,4.12,16.84,0,0.52,1.12,4.77,4.36,0,138.32,1.59,0,0.94,4.81,0.58,2.08,43.67,0.56,0,0.52,0,0,19.24,0.63,0,0,0,1.18,2.27,5.61,0,0
120,0,0,0,0,7.13,1.98,0,14.13,0,1.12,0,0,0,0,36.99,1.67,0,0,0,1.1,9.44,58.39,0,0,0,0,0,11.5,0,0,0,0,0,0,0,2.01,0
