stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.51,196.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,0,0,0,0,0
  5-6,12.36,144.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.06,0,0,0,0,0,0,15.69,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0,0,0,8,0,0,9.03,0,0,0,0,0,0,0,0
 14-21,0,0,2.21,9.19,0,0,0.82,0,0,0,4.51,0,0,2.07,0,0,0,0,0,0,5.83,0,0,10.55,10.62,0.8,0,0,0.87,0,1.2,0,0,4.21,8.02,0,0,2.17,0,0
 24-34,0,0,1.56,1.31,0,0,1.81,0,1.42,1.21,5.05,0,0,0.67,0,0,0,0,0,4.9,13.37,0,0,5.18,89.94,0.66,10.94,0,0,0,6.49,0,0,0.64,33.94,0,0,5.05,0,17.27
 36-46,0,0,0,6.78,0,0,4.3,1.96,0,2.8,11.26,0,0,1.64,0,0,0,0,0,17.59,17.37,0,0.8,16.44,124.97,2.91,15.98,0,0,0,1.55,0,0,0,29.47,0,0,5.11,0,8.79
 48-58,0,0,0.4,18.66,0,0,37.7,1.2,0,1.41,23.07,0,1.19,1.5,7.07,0,4.98,0,0,3.71,33.2,1.11,0.46,5.1,246.52,2.28,1.06,1.85,0,0,5.98,0,1.17,0,61.15,0,0,11.72,0,12.82
 60-70,0,0,0,2.02,0,0,100.64,1.4,0,8.3,21.63,0,0,0,0,10.18,1.28,0,0,0.73,43.6,0.88,1.7,1.83,321.74,0,3.76,8.18,0,4.38,2.27,0,0,0,24.89,2.25,1,5.13,0.98,0
 72-82,0,0,0.62,1.15,0.89,0,76.62,0.51,1.44,5.09,26.71,1.1,0,2.27,2.28,0,1.71,1.66,0,1.69,65.25,0.92,7.63,14.93,357.41,0.5,4.22,0.88,0,5.24,0.52,0,0,0,39.75,4.77,3.45,16.78,2.87,11.08
 84-94,0,0,2.22,4.94,0.7,0,33.73,0.79,0,2.57,15.35,0.92,0,1.45,5.53,0,5.44,0,0,0,59.68,0,0,11.32,216.66,0,0,5.01,0,0.57,6.8,0,0,0,21.2,0.66,6.48,2.13,0,1.57
 96-106,0,0,1.8,6.39,6.29,3.52,43.83,0,3.45,1.39,51.66,1.5,1.32,0.71,1.72,0,1.72,3.31,0.77,5.75,35.39,2.86,3.38,1.29,136.07,0.58,8.92,6.52,0,15.24,24.18,0,0,0,9.46,6.79,0,24.99,3.19,3.97
108-118,0,0,0.8,13.4,0,0,55.47,2.16,1.45,4.7,28.15,5.03,0,0,8.17,0.67,8,0,0,22.01,37.42,8.06,8.94,7.56,155.33,0,25.49,4.36,0,11.55,4.44,0,0,0,17.07,4.25,2.42,24.06,1.27,8
120,0,0,1.22,15.08,7.49,0,47.9,0,0,0,26.17,1.29,0,0,4.2,1.41,15.21,3.49,1.5,0,26.68,0,0,4.74,250.28,0,28.92,11.52,0,0,23.11,0,0,0,23.78,0,0,20.29,0,0
