stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,49.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.38,0,0,0,7.19,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.87,5.91,0,3.36,0,0,0,0,0,0,0,0,0,0,1.34,10.9,0,0,0,0,0,0,0,0,0,3.12,0,0,0,0
 24-34,0,0,0,0,0,25.74,0,0,0,0,0,0,0,0,0,0,0,31.13,0,0,0,0,0,0,0,0,1.02,12.54,0,0,0,0
 36-46,0,0,0.64,0,0,57.26,0,0,0,1.06,0,0,0,0,0,0,0,84.88,0,1.29,0,0,0,0,0,0,0,13.69,0,0,0,0
 48-58,0,0,0.39,0,0,57.38,0,0,0,3.13,0,0,0,0,0,0,1.41,187.71,0,0,0,0,0,0.59,0,0,0,6.91,0,0.45,0,0
 60-70,0,0,0.68,0,0,325.74,0,0,0,1.53,0,1.39,0,0,0,2.37,6.16,291.31,0,0,0,0,1.19,0.85,0,0,0,6.93,0,0,0,0
 72-82,0,0,0,0,0,954.34,0,0,0.6,10.26,1.96,3.48,0,0,0,9.96,0,263.39,0,2.12,0,0,0,1.26,0,0,0,10.81,0,1.74,0.65,0
 84-94,0,1.33,8.5,3.26,0,874.89,0,7.57,0,15.34,1.05,1.38,0,0,0,14.16,2.38,216.75,0,0,0,0,0,1.17,0,0,0,7.02,9.9,0,1.87,0
 96-106,0,0.91,9.26,0,0,1062.5,0,0.62,0,23.87,9.61,19.31,0,0.88,0,20.75,1.02,161.78,0,0,0,0,0,1.18,0,0,0,4.32,6.22,0,1.85,0.8
108-118,0,4.9,11.96,5.93,4.57,1266.11,0,0,1.23,28,8.7,35.11,0.53,1.09,0,31.02,1.85,253.75,1.13,3.68,0.53,0,0,4.02,0,0,0,3.81,24.68,1.06,2.84,0
120,0,0,33.82,0,0,911.75,1.72,0,0,22.49,16.08,41.78,0,0,5.29,50.41,4.51,371.94,0,3.27,0,0,0,1.64,2.39,1.99,0,0,12.91,15.72,0,0
