stage,glial,mesenchyme,olfactory,pronephros,spinal.cord
 14-21,1.91,0,0,0,0
 24-34,0,0,0,0.85,0.85
 36-46,0,0,0.72,0,0
 48-58,0,0,0.88,0.68,0
 72-82,0,1.08,0,0.57,0
 96-106,0,0,0.59,0,0
108-118,0,0,2.71,0.43,0
