stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2.48,0,0,0,0,0,9.45,0,0,0,0,0,0,0,0,0,0,0.86,5.65,0,0,1.54,0,0,4.05,0,0.94,68.94,0,0,0,0
 24-34,0,1.72,0.6,4.39,0,0,0,325.27,0,0,0,0.64,0,0,0,0,2.26,0,1.72,52.96,0,1.85,2.94,0,1.65,0,0,1.14,657.82,0,0.77,0,10.52
 36-46,0,0,0,13.24,0,0,0.63,649.12,0,0.65,0,0,0,0,0,0,4.65,0,0,81.69,0,1.15,1,0,14.35,0,1.31,0,831.31,0,1.01,0,0
 48-58,0,5.82,0,16.13,3.41,0,0,757.16,0,0,0,0,0,0,0,0,4.72,0,0,89.46,10.22,4.51,1.14,0,2.27,0,0,0,1437.12,0,1.03,0,0.62
 60-70,0,5.56,17.69,18.46,0,6.44,1.6,890.99,1.28,0,0,0,0,0,0,0,10.03,6.48,0,43.5,0,0.89,0,0,2.27,0,0,0,1095.14,0,0.59,0,0
 72-82,0,0,0,43.59,0,0.75,0,964.43,5.23,0.6,0,0,0.49,0,0,1.89,6.08,0,1.99,52.38,0,2.33,0,0,3.59,0,0,0,1641.91,0.63,0.92,1.41,10.85
 84-94,0.66,5.05,0,3.83,0,0,0,1052.18,8,0,0.99,0,2.09,1.1,0,0,9.88,0,3.28,25.27,0,1.78,0.82,0.83,0,0,0,0,1475.53,0,0,0,0
 96-106,0,20.94,0,30.11,0,1.87,2.29,573.41,1.28,0,0,0,0,0.92,0,0,20.43,0,0.94,53.89,0,0,0,0,4.24,0,0.7,0,2251.34,0,8.43,0,0
108-118,0,24.21,0,9.96,0,0,1.95,532.59,1.98,0,0,0,0,3.87,0,0,10.67,0,0,41.55,0,0,0.67,0,5.57,0,0,0,1049.99,0,0.65,0,0
120,0,20.32,0,12.8,0,7.51,1.66,391.32,0,0,6.86,0,0,0,19.69,0,10.71,0,0,28.74,0,1.12,0,0,0,0,0,0,1263.63,0,11.6,0,0
