stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.28,0,14.21,0,0,0,0
 14-21,0,0,0,0,0,1.23,0,0,0,0,0,2.99,0,0,0,0.92,0,0.84
 24-34,0,0.74,0,0,0,0,0,0.62,0,0.66,0.76,12.19,0,0,0,0,0,2.62
 36-46,0,1.61,0,0,0.82,0,0,0.75,0,1.69,0,9.96,0,0,0,7.67,0,1.57
 48-58,0.97,0,0.62,0,0,4.43,0,0,0,1.2,0.96,8.7,0.69,0,0,1.51,0,0
 60-70,0,14.36,0,0,0,0,0,0,0,2.02,0,1.38,2.92,0,2.83,0,1.77,0
 72-82,0,3.75,0,0,0,1.1,0,0,0,0,0,5.53,0,0,1.53,0,0,0.93
 84-94,0,0.78,0,0,0,0,0,0,2.07,1.21,0,7.87,0,0,3.81,7.45,0,0
 96-106,0,0,0,6.72,0,0,0,0,0,0,0,7.56,0,0,2.07,0,0,0
108-118,3.4,0,0,0,0,3.21,0.42,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0
